339,340,96,ERRAUTHOR,"То же. Изд. 2-е, М.—Л., Огиз—«Молодая гвардия», 1931, (Б-ка пионера-акти-йиста «Пионер, крепи оборону страны».) Стр. 32, т. 30 100, ц. 12 к."
341,342,97,NOAUTHOR,"АКСАГОРСКАЯ. Серпок и молоток. Рис. А. Комарова. М., Г. Ф. Мирйманов, 1025..(Б-ка школьника.) Стр. 23, т. 10000f ц* 35 к."
343,344,98,NOAUTHOR,"АКСАКОВ С. Т. Аленький цветочек. Сказки ключницы Целагеи. Н.-Новгород, изд. Союза потребит, кооперативов Нижегородок, района, 1919. Стр. 24."
345,348,99,ERRAUTHOR,"То же. Харьков, «Космос», 1929. Стр. 48, т.-’7 000, ц. 40 к. ‘ 99-а. АКСЕЛЬРОД А. Девочка тонкие ножки. Сказочка. Слова и мелодия Данилевского Л., изд. автора, 1919. ^тр. 3, т. 1 000."
349,350,100,NOAUTHOR,"АКТАН Г. А. (Гильгеядорф) Белая шахта. Экскурсия на соляной рудник в Донбассе. М.—Л., «Молодая гвардия», 1926. (Б-ка юного пионера.) Стр. 70, т. 10 000, ц. 25 к."
351,354,101,ERRAUTHOR,"Пионерам о Красном флоте. Предисл. В.  Зофа. М., «Цовая Москва», 1925. (Б-ка юного пионера.) Стр. 76, т. 10 000, ц. 30 к."
355,356,102,ERRAUTHOR,"Пионерам о лыжах, коньках и салазках. М., «Новая Москва», 1925. (Б-ка 1бного пионера.) Стр. 75, т. 10 000, ц. 30 к."
357,358,103,ERRAUTHOR,"То же. Изд. 2-е, М., Огиз—«Физкультура и туризм», 1931. Стр. 40, т. 10 000, ц. 45 к."
359,360,104,NOAUTHOR,"АКУЛОВ Ф. Отцы и дети. Профсоюзы й пионеры. М., «Молодая гвардия», 192J. (Б-ка пионерского слета. Серия «В дни слета».) Стр. 39, т. 15 000, ц. 10 к."
361,364,105,NOAUTHOR,"А К УЛЬ ШИН Р. М. Бабушкин глазок. (Рассказ.) Рис. М. Михаэлис. М., Гиз, 1928. (Деш. б-чка.) Стр. 16, т. 50 000, ц. 5 к."
365,368,106,ERRAUTHOR,"Гусыня и балалайка. (Рассказ.) Рис. К. Кузнецова. М., «Крестьянская газета», 1929. (Б-ка «Дружные ребята».) Стр. 30, т. 25 000, ц. 10 к."
369,370,107,ERRAUTHOR,"Дети пустыни. Рассказы. Рис. И. Мрочковского. М.—Л., Гиз, 1929. Стр. 112, т. 10 000, ц. 50 к."
371,372,108,ERRAUTHOR,"Золотые работники. Рис. Н. Каши-ной. М.—Л., Гиз, 1910. Стр. 14, т. 25 000, ц. 7 к."
373,376,109,ERRAUTHOR,"Короткая жизнь. Рассказ. Гравюры на линолеуме П. Староносова. М.—Л., Гиз, 1929. Стр. 16, т. 20 000, ц. 15 к."
377,378,110,ERRAUTHOR,"То же. Изд. 2-е, М.—Л., Гиз., 1930. Стр. 16, т. 25 000, ц. 7 к."
379,380,111,ERRAUTHOR,"Красненький мальчик. (Рассказ.) Рис. М. Синяковой. М.—Л., Гиз, 1929. Стр. 11, т. 100 000, ц. 6 к."
381,382,112,ERRAUTHOR,"То же. Изд. 2-е, М., Гиз, 1930. Стр. 11, т. 75 000, ц. 6 к."
