author_std,wdname,qid,result,gender,sex,birth,death,birth_year,death_year,author
БродскаяДЛ,"Бродская, Дина Леонтьевна",Q28357519,1,f,female,NA,NA,1909,1942,"Бродская, Д.; Бродская, Д. Л."
БродскийАИ,NA,NA,NA,m,NA,NA,NA,NA,NA,"Бродский, А.; Бродский, А. И.; Бродский, Александр"
БродскийБИ,"Бродский, Борис Ионович",Q4096779,1,m,male,NA,NA,1920,1997,"Бродский, Б.; Бродский, Б. И.; Бродский, Борис"
БродянскийБ,"Бродянский, Борис Львович",Q4096812,1,m,male,NA,NA,1902,1945,"Бродянский, Б."
БройкоВМ,NA,NA,NA,-,NA,NA,NA,NA,NA,"Бройко, В. М."
БрокП,NA,NA,NA,m,NA,NA,NA,NA,NA,"Брок, Петер"
БромлейНК,NA,NA,NA,f,NA,NA,NA,NA,NA,"Бромлей, Н. К.; Бромлей, Наталия; Бромлей, Наталия Константиновна"
БромлейНН,NA,NA,NA,f,NA,NA,NA,NA,NA,"Бромлей, Н.; Бромлей, Н. Н.; Бромлей, Наталья Николаевна"
БроневскаяЯ,NA,NA,NA,f,NA,NA,NA,NA,NA,"Броневская, Я."
БроннерБВ,NA,NA,NA,-,NA,NA,NA,NA,NA,"Броннер, Б.; Броннер, Б. В."
БронниковГ,NA,NA,NA,m,NA,NA,NA,NA,NA,"Бронников, Г."
БроновицкаяЗ,NA,NA,NA,f,NA,NA,NA,NA,NA,"Броновицкая, З."
БронтеЭ,"Бронте, Эмилия Джейн",Q80137,1,f,female,NA,NA,1818,1848,"Бронте, Эмилия"
БронтманЛ,"Бронтман, Лазарь Константинович",Q4097053,1,-,male,NA,NA,1905,1953,"Бронтман, Л."
БронштейнМП,NA,NA,NA,-,NA,NA,NA,NA,NA,"Бронштейн, М.; Бронштейн, М. П."
БронштейнН,NA,NA,NA,-,NA,NA,NA,NA,NA,"Бронштейн, Н."
