ФИО,Название,Жанр,"Год издания",Тираж,"Для младшего возраста","Для среднего возраста","Для старшего возраста",Примечания,"Место издания",Пол
"Гольдберг, И.","Петька шевелит мозгами",,1966,15,,,,,Иркутск,
"Голышкин, В.","Как началась весна",Повесть,1964,150,1,,,,Москва,м
"Голышкин, В.",Сухарики,рассказ,1965,200,,,,,Москва,м
"Голышкин, В.","Улица становится нашей",Рассказ,1964,65,,1,,,Москва,м
"Головякин, В.","Мой добрый папа",Повесть,1966,150,1,,,,Ленинград,м
"Головякин, В.","Рисунки на асфальте",Повесть,1965,100,1,,,,Ленинград,м
"Гонимов ,И.",Шахтарчук,"Повесть в 2-х книгах",1964,90,,1,1,,Киев,м
"Горобцов, М.","Косой барабанщик",Рассказы,1965,50,1,,,,Воронеж,м
"Горобцов, М.","Мишкино детство",Повесть,1963,100,1,,,,Курск,м
"Горбунов, Д.","Егорка Богатырев. Страницы жизни питерского мальчика",,1965,30,,1,,,Ярославль,м
"Горлецкий, Л.",Граница,"Повесть и рассказ",1964,65,,1,1,,Москва,м
"Горький, М.","Дед Архип и Ленька",Рассказ,1966,200,,,,,Москва,м
"Горький, М.","Дедтство Ильи",Рассказы,1964,300,1,,,,Москва,м
"Горький, М.","Егор Булычев и другие",,1965,75,,,,,Москва,м
"Горький, М.","Макар Чудра и другие рассказы",Рассказы,1964,200,,,,,Москва,м
"Горький, М.",Мать,Роман,1965,200,,1,,,Москва,м
"Граевский, А.","Украденный рекорд",Рассказы,1966,30,,1,,,Свердловск,м
"Григорьев, Н.","Бронепоезд Гандзя",Повесть,1965,100,,1,1,,Ленинград,м
"Григорьев, Н.","Наш бронепоезд",,1964,150,,,,,Ленинград,м
"Григорьев, Н.",Рассказы,,1966,50,,1,1,,Ленинград,м
"Григорьев, Н.","История одного ястреба",Рассказ-быль,1965,300,1,,,,Москва,м
"Гуро, И.","Мужской разговор",Рассказ,1966,100,,,,,Москва,ж
"Гуро, И.","На красный свет",Рассказ,1964,75,,1,1,,Москва,ж
"Гуро, И.","Полезное занятие",Рассказ,1965,100,1,,,,Москва,ж
"Гуро, И.","Ранний свет зимою",Повесть,1966,50,,1,1,,Новосибирск,ж
"Гусев, А.",Мальчишки,Повесть,1965,30,,1,,,Новосибирск,м
"Гущин, Н.","По следу",Рассказ,1964,200,1,1,,,Петрозаводск,м
"Давыдов, С.","Путаный след",Повесть,1966,65,,1,,,Ленинград,м
"Давыдов, Ю.","Капитаны ищут путь. Иди полным ветром.",Повести,1966,50,,,,,Москва,м
