author,title,genre,year,printrun,kid,junior,teen,exclude,location,sex,lastname,ntitle
"Наседкин, Д.",Торопою предков,Повесть,1963-01-01,15000,FALSE,TRUE,FALSE,FALSE,Минск,м,Наседкин,торопою предков
"Насибов, А.",Безумцы,NA,1964-01-01,65000,NA,TRUE,TRUE,NA,Москва,м,Насибов,безумцы
"Наумов, Е.","""Хроникон"" и мы",Повесть,1965-01-01,30000,NA,TRUE,NA,NA,Москва,м,Наумов,хроникон и мы
"Наумов, С.",Тайна партизанского стана,NA,1959-01-01,15000,FALSE,TRUE,FALSE,NA,Свердловск,М,Наумов,тайна партизанского стана
"Наумов, Я.; Яковлев, А",Тонкая нить,Повесть,1965-01-01,150000,NA,TRUE,TRUE,NA,Москва,м;м,Наумов,тонкая нить
"Недоля, И.",Карагез,NA,1960-01-01,30000,TRUE,TRUE,FALSE,NA,Краснодар,М,Недоля,карагез
"Недоля, И.",Пернатые друзья,Рассказы,1963-01-01,25000,TRUE,TRUE,FALSE,FALSE,Краснодар,м,Недоля,пернатые друзья
"Незлобин, Н.",Кругосветная сумка,NA,1958-01-01,700000,TRUE,FALSE,FALSE,NA,Москва,М,Незлобин,кругосветная сумка
"Неклюков,Б.",Юный рыболов,NA,1942-01-01,30000,FALSE,FALSE,TRUE,FALSE,Москва; Ленинград,м,Неклюков,юный рыболов
"Некрасов,А.Д.",В поисках Южного материка,Повесть,1941-01-01,60000,FALSE,TRUE,FALSE,FALSE,Москва; Ленинград,м,Некрасов,в поисках южного материка
Некрасов Н. А.,Генерал Топтыгин,NA,1946-01-01,50000,TRUE,FALSE,FALSE,FALSE,Москва; Ленинград,м,Некрасов,генерал топтыгин
"Некрасов, А.",Драгоценное зерно,Повесть,1953-01-01,100000,FALSE,TRUE,FALSE,FALSE,Москва; Ленинград,м,Некрасов,драгоценное зерно
"Некрасов, А.",Завидная биография,Рассказы,1953-01-01,30000,FALSE,TRUE,TRUE,FALSE,Москва,м,Некрасов,завидная биография
"Некрасов, А",Приключения капитана Врунгеля,Повесть,1965-01-01,300000,TRUE,NA,NA,NA,Москва,м,Некрасов,приключения капитана врунгеля
"Некрасов, А",Рассказы о севере и юге,NA,1964-01-01,150000,TRUE,NA,NA,NA,Москва,м,Некрасов,рассказы о севере и юге
"Некрасова, Л.",Поиски храбрых,Повесть,1961-01-01,65000,FALSE,TRUE,FALSE,FALSE,Москва,ж,Некрасова,поиски храбрых
"Некрасова, Л.",Я из Африки,Повесть,1965-01-01,65000,NA,NA,NA,NA,Москва,ж,Некрасова,я из африки
"Немцов, Вл.",Альтаир,Роман,1963-01-01,75000,FALSE,TRUE,TRUE,FALSE,Москва,м,Немцов,альтаир
"Немцов, В.",Золотое дно,Роман,1949-01-01,30000,FALSE,TRUE,TRUE,FALSE,Mосква; Ленинград,м,Немцов,золотое дно
"Немцов, Вл.",Тень под землей,Повесть,1954-01-01,75000,FALSE,FALSE,TRUE,FALSE,Москва,м,Немцов,тень под землей
"Немченко, Г.","История Кольки Богатырева и всех его приятелей, расказанная так, как это было на самом деле",Повесть,1965-01-01,75000,NA,TRUE,NA,NA,Москва,м,Немченко,история кольки богатырева и всех его приятелей расказанная так как это было на самом деле
"Нерцев, И.",Большие весенние новости,повесть,1970-01-01,100,TRUE,NA,NA,NA,Ленинград,м,Нерцев,большие весенние новости
"Нестеров, В.",На досуге,Книжка-игра,1962-01-01,100000,FALSE,TRUE,FALSE,TRUE,Москва,м,Нестеров,на досуге
"Нечаев,И.",Белый карлик,Рассказ,1943-01-01,50000,FALSE,TRUE,TRUE,FALSE,Москва; Ленинград,м,Нечаев,белый карлик
"Нечаев, В.",Вижу землю,повсти и рассказы,1971-01-01,75,NA,TRUE,TRUE,NA,Ленинград,м,Нечаев,вижу землю
"Нечаев, М.",Лёвик,NA,1956-01-01,15000,TRUE,FALSE,FALSE,NA,Пенза,м,Нечаев,левик
