author_std,fullname,qid,gender,birth_year,death_year,author
АленникА,NA,NA,m,NA,NA,"Аленник, Александр"
АленникЭ,NA,NA,f,NA,NA,"Аленник, Э.; Аленник, Энна"
АлесенкоЮ,NA,NA,NA,NA,NA,"Алесенко, Ю."
АлехинВС,NA,NA,m,NA,NA,"Алехин, В. С."
АлечковичМ,"Алечкович, Мира",Q543400,f,1924,2008,"Алечкович, М.; Алечкович, Мира"
АлешинВ,NA,NA,m,NA,NA,"Алешин, В."
АлешкоВ,NA,NA,NA,NA,NA,"Алешко, В."
АлешковскийЮ,"Алешковский, Юз Ефимович",Q4062196,m,1929,2022,"Алешковский, Юз."
АлещенкоНМ,NA,NA,NA,NA,NA,"Алещенко, Н. М."
АлещукЗ,NA,NA,NA,NA,NA,"Алещук, З."
АлиС,"Али, Сабахаттин",Q982838,m,1906;1907,1948,"Али, Сабахаттин"
АлибейлиХ,NA,NA,NA,NA,NA,"Алибейли, Ханымана"
АлигерМ,"Алигер, Маргарита Иосифовна",Q268994,f,1915,1992,"Алигер, Маргарита"
АлигерМЗ,NA,NA,NA,NA,NA,"Алигер, М. Зоя."
АлиевМР,NA,NA,m,NA,NA,"Алиев, М. Р."
АлиевН,NA,NA,m,NA,NA,"Алиев, Нариман"
АлиевУ,"Алиев, Умар Баблашевич",Q4062314,m,1911,1972,"Алиев, У."
АлиеваА,NA,NA,f,NA,NA,"Алиева, А."
АлиеваФ,"Алиева, Фазу Гамзатовна",Q164309,f,1932,2016,"Алиева, Ф.; Алиева, Фазу"
АлимбаевМ,"Алимбаев, Музафар",Q4062363,m,1923,2017,"Алимбаев, М.; Алимбаев, Музафар"
АлимбейлиХ,NA,NA,NA,NA,NA,"Алимбейли, Ханымана"
АлимджанX,NA,NA,NA,NA,NA,"Алимджан, X."
АлимджанХ,"Алимджан, Хамид",Q1400799,m,1909,1944,"Алимджан, Хамид"
АлимовА,NA,NA,m,NA,NA,"Алимов, А."
АлинаК,NA,NA,f,NA,NA,"Алина, К."
АлининАЯ,NA,NA,m,NA,NA,"Алинин, А. Я."
АлишА,"Алиш, Абдулла",Q2640701,m,1908,1944,"Алиш, А.; Алиш, Абдулла"
АлланазаровА,NA,NA,m,NA,NA,"Алланазаров, А."
АлленРТ,NA,NA,NA,NA,NA,"Аллен, Р. Т."
АлмазовБА,"Алмазов, Борис Александрович",Q4062724,m,1944,NA,"Алмазов, Б. А."
АлматинскаяА,"Алматинская, Анна Владимировна",Q4062754,f,1882,1973,"Алматинская, А."
АлонсоД,"Алонсо, Дора",Q447049,f,1910,2001,"Алонсо, Дора"
АлпенидзеВТ,NA,NA,NA,NA,NA,"Алпенидзе, В. Т."
АлтаевА,"Алтаев, Ал.",Q4060359,m,1872,1959,"Алтаев, А.; Алтаев, Ал."
АлтайскийК,NA,NA,m,NA,NA,"Алтайский, К.; Алтайский, Константин"
Алтан-Хайша,NA,NA,NA,NA,NA,Алтан-Хайша
АлтаузенД,"Алтаузен, Джек Моисеевич",Q4062979,m,1907,1942,"Алтаузен, Д."
АлтынсаринИ,"Алтынсарин, Ибрай",Q2628401,m,1841,1889,"Алтынсарин, Ибрай"
Алтыншаш,NA,NA,NA,NA,NA,Алтыншаш
Алфеевский,NA,NA,m,NA,NA,Алфеевский
Алферов-ВолжанинВГ,NA,NA,m,NA,NA,"Алферов-Волжанин, В. Г."
АлферовАС,NA,NA,m,NA,NA,"Алферов, А. С."
АлферовВ,NA,NA,m,NA,NA,"Алферов, В.; Алферов, Василий"
АлферовРА,NA,NA,m,NA,NA,"Алферов, Р. А."
АлферовЮ,NA,NA,m,NA,NA,"Алферов, Ю."
АлфероваГ,NA,NA,f,NA,NA,"Алферова, Гали"
АлферьевВ,NA,NA,m,NA,NA,"Алферьев, В."
АлфимовЕ,NA,NA,m,NA,NA,"Алфимов, Е."
АлыбаевМ,"Алыбаев, Мидин",Q20620345,m,1917,1959,"Алыбаев, М."
