Велтистов Е.	430, 431
Венгров Н.	3841, 4461
Веневцев М.	4250
Вениаминов П.	3778
Веприцкая Л.	432
Вербов Я.	3770
Верейская Е.	433, 434, 3795
Вересаев В. В.	3768, 3811, 3821, 3900
Вересов А.	435
Веретенников Н.	436, 437
Верза О.	3127
Верзилин Н.	4002
Вериссимо Жозе.	3885
Верн Жюль.	3572
Верников В.	3785
Верников Л.	438
Верховская А.	3763
Верховская Н.	2927
Верховский В.	3783
Вершинин А.	439
Вершинин К.	3945
Вершинин Л.	440, 3858
Вершинин М.	3921, 3947
Веселинов Г.	3870
Веселннович Я.	3573, 3574
Веселухнна К.	4251
Вестли Ане-Катрине.	3575, 3576
Ветров А.	3904, 3905
Ветрова Е.	3381
Вехова М.	441, 442
Веян А.	3815
Вивье Колет.	3577
Внгдорова Ф.	443, 444
Видгоп Л.	445
Визбор Ю.	3977
Виеру Г.	3128—3130, 3772, 3829
Викторов В.	64, 446, 447, 3579, 3829, 3846, 3848, 3921
Викторов К.	3910
Викулов С.	3782
Вилинбахов В.	3852
Внльковский Ян.	3578
Внлькорейская Т.	3911
Винкман М.	448
Виноградов А.	3712
Виноградов В.	449, 3899
Виноградов В. П.	3822
Виноградов И.	2823
Виноградов Л.	450, 451
Виноградов В.	3782, 4560—4563
Виноградова Н.	4455
Виноградская С.	452—455, 3769, 3895, 3926
Винокуров Ев.	456, 3816, 3847, 3857, 3889, 3920, 3922, 3936
Винокуров И.	3805, 3934
Винокуров Иван.	457
Виролайнен Л.	4539
Витальев В.	3820
Витензон Ж.	458— 461
Витензон Я.	3933
Витлин В.	3848, 3911
Вишнев П.	462, 3777
Вишневская Е.	681
Вишневский А.	3922
Вишневский В. В.	463
Вишневский Всеволод.	3769
Владимиров А.	3829, 40бЗ
Владимиров Алексей.	464
Владимиров В.	465
Владимиров Г.	461
Владимиров Георгий.	3939
Владимиров О.	4015, 4016, 4136
Владимирова С.	4456
Владимиров М.	3797, 3798, 3947
Владыкина-Бачинская Н.	4004
Власов Александр.	467— 470
Власов М.	3868
Внуков Н.	3776, 3800
Внуков Николай.	471, 472, 4457
Воденичарова К.	3579
Водопьянов М.	473, 474, 3915, 3940
Воеводин В.	372, 475, 2269, 4491
Воздвиженский А.	476
Вознесенский Андрей.	3775, 3862, 3919, 3920, 3926, 3947
Воинов А.	2712, 3886
Воинов Александр.	477
Войщев Ю.	478, 479
Войнич Э.	3580, 3581
Войскунский Е.	480, 3932
Балановский Л.	3766
Волгарев Н.	3825
Волгин И.	3857
Волгина А.	3841
Волгина Т.	481, 3786, 3838, 3851
Волевич И.	3610
Волина М.	482, 483, 3798
Волк И.	484—486, 3829
Волков А.	492, 1039, 3829
Волков Александр.	487—491, 3828
Волков Б.	493
Волков В.	3851
Волков Василий.	494
Волков Н.	3733
Волков О.	3867
Волкодаев Петр.	495
Волконский М.	3899
Волобуева И.	3936
Воловик А.	496
Вологдин В.	3947
Володин Г.	497, 3914
Волосович Светлана.	4540
Волхонская Н.	4541
Вольпин М.	3851, 3933
Вольский А.	2502
Вольский Артур.	3131
Вольский В.	3786
Вольский Виталий.	3132, 3133
Вольф С.	3799—3801
Волынец М.	498
Воннегут Курт, Младший.	3582
Воробьев Борис.	3766
Воробьев Д.	499, 3929
Воробьев В.	3938
Воробьев Евгений.	500, 3847, 3915
Воробьев И.	3887
Воробьев Петр.	501
Воробьева И.	2799, 2928, 3031, 3828, 3900
Воройская Г.	3831
Воронель Н.	502
Воронецкий М.	503
Воронин Петр.	504
Воронин Сергей.	505—507
Воронкова Л.	508—514, 2956, 3805, 3841, 3856, 3904, 3911, 3924, 3934
Воронов В.	3933
Воронова О.	4212
Воронский А. К.	3901
Воронцов В.	515
Воронцова Т.	3802
Воронько Платон.	3134, 3805, 3831, 3841, 3856, 3924, 3934
Воротников И.	4005
Воротникова С.	4253
Воскобойников В.	105
Воскобойников Валерий.	516, 517, 3799
Воскобойников Владимир.	518
Воскобойников М.	608, 3540
Воскресенская З.	519—532, 3769, 3795, 3816, 3828, 3829, 3883, 3888, 3895, 3904, 3905, 3915, 3926, 4593
Воскресенский С.	4016
Востоков В.	2683
Вронский Ю.	533, 3829, 3924
Всеволожский И.	534, 535
Вторушин С.	3914
Вул И.	4591, 4593
Выговский В.	3135
Высоковский К.	536
Высотская Ольга.	537 — 539, 3772, 3782, 3786, 3805, 3809, 3838, 3841, 3846, 3851, 3856, 3911, 3924
Вышеславский Л.	3857
Вышеславцева С.	3838, 3841, 3848
Вяземский П. А.	3889
Вялсял Сильви.	3136
Вяльятага С.	4554
Вятский Андрей.	3777
Габашвили Екатерина.	3137
Габбе Тамара.	540, 3592, 3701, 3702
Габиба.	3138
Габис Е.	4014
Габичвадзе Р.	3851
Габоева З.	3871
Габрилович Е.	3862
Гаврилин Д.	541, 542, 3883
Гаврилов Н.	3795
Гаврилов П.	543
Гаврилова М.	544
Гагарин Юрий.	3784, 3827, 4007
Гаген-Торн Н.	4467
Гаглов И.	3825
