Коровин Ю.	803, 805, 806, 809, 827, 842, 843, 888, 2233
Коростышевская Л.	2254
Коростышевский Л.	286, 414, 1213, 1347, 1770, 2286, 2305
Короткин А.	874, 893, 1206, 1302, 1606, 2284
Короткин Н.	2299
Короткова Е.	922, 1711
Корсаков Л.	484, 942
Косенков С.	637, 771, 1559
Косолапов А.	2432
Косульников Б.	783
Котанов В.	2091
Котеночкин В.	988
Котляр Е.	1308
Котляревский Н.	2426
Котов Г.	126
Кочергин Н.	331, 521, 547, 664, 1661, 1662, 1800, 1801, 1884, 2081, 2174, 2306
Кочина С.	268
Кочкин В.	1144
Кошаровский И.	2573
Кошелев В.	2347
Кошельков Н.	1296, 1435
Кошечкин В.	640
Кошкарев И.	2114, 2368, 2518, 2557, 2576
Кравец В.	742
Кравцов В.	444, 1202, 1545
Кравченко Н.	2041, 2355
Кравченко О.	2575
Краев В.	1943, 2055
Крейцер Б.	2424, 2425, 2495, 2497, 2572, 2573
Кременецкий В.	477
Кременцова А.	1458
Кроллис Г.	1918
Кршижановский Е.	2389, 2453
Крылов А.	1846
Ксенофонтов Т.	629, 968, 1123
Кузанян П.	1635
Кузнецов Б.	2573
Кузнецов В.	2668
Кузнецов И.	364, 816, 1662, 1663, 1711, 1773, 1807, 1808, 1813, 2290
Кузнецов К.	111, 1042, 1806, 1813
Кузнецов Л.	140, 1434, 2295
Кузнецов Н.	1561
Кузьмин Н.	706, 1552, 1665, 1666
Кузьмин С.	607
Кузьмин Ю.	2318
Кукрыниксы.	814, 1761
Куклес И.	874, 893
Кулагин Ф.	559, 1310
Кулешов А.	2448
Кульбака С.	168, 276, 718, 1300, 1865, 1959
Кульков В.	530, 684, 770, 932, 1051, 1835, 2297, 2371, 2372, 2448
Куприянов В.	339
Куприянов С.	91, 499, 935, 1742
Купцов Г.	1164
Курдов В.	166, 1266, 2189
Курицын А.	629
Курчевский В.	479, 512, 642, 801, 1437
Кусков И.	554, 570, 911, 1156, 1403, 1410, 1477, 2145, 2172, 2240, 2262
Кустов Н.	1591
Кутателадзе Г.	1872
Кутилов Н.	506
Кцоев В.	1336
Кыштымов Б.	661, 908, 1416, 2392, 2558
Лаврентьев З.	135
Лавров Б.	2473, 2491, 2524
Лаврова И.	923
