Караваевы Г. и В.	1213, 3053, 3125.
Каракашев В.	594.
Карамышев В.	266, 872.
Карасев В.	1121, 2096.
Каретин И.	2073.
Кардовский Д.	1854.
Каретко В.	732, 1041, 1090, 1442, 2187, 2206, 2670.
Карпенко М.	782, 2263.
Карпов А.	1005, 2704, 2886, 2887.
Карпова Ю.	550, 2638.
Карташев Л.	1079, 2127.
Карташов Л.	23, 284, 2640, 2641.
Карцев В.	2600.
Карюков Л.	2970.
Касрадзе Г.	2165.
Кастальская М.	2640.
Каульбах В.	2329.
Кауров А.	2512.
Кашкуревич А. М.	2426.
Кащеев К. Г.	1326.
Келейников А.	10, 436, 465, 562, 1263, 1548, 1797, 2122, 2500, 2511, 3057, 3079.
Кетов Г.	978, 1897.
Кибрик Е.	1045, 1625.
Килдеску Э.	2105.
Ким Ю.	676, 2158.
Киприн С.	209, 447, 718, 736.
Кириакиди И.	1056.
Кириллов В. П.	2372, 2756, 2763.
Кириллова Л. А.	2638.
Киселев В.	1424.
Киселев Ю.	473, 1026, 1275, 1542, 2367, 2396, 2521, 2720, 2750, 2790, 2800, 2812, 2848, 2875, 3458, 4350.
Кисляков Н. И.	77.
Кистауов Г.	1487.
Клейнард И. С.	1401, 1402.
Клементьева К.	1702, 1703, 1790, 1798, 1823.
Князев А.	397.
Ковалев А.	299, 819, 929.
Ковалев В.	20.
Ковалев И. Г.	192, 1687, 1722.
Ковалев Н.	618.
Ковалев С.	1617, 2908.
Ковалева Т. В.	1948.
Кованое Т.	3013.
Ковенчук Г. В.	2886, 4387.
Ковынев Б.	3013.
Коган Е.	1316, 2388, 2721, 3306.
Коган М.	467.
Коджак А.	579.
Козак О.	724.
Козлов Г.	235, 1226, 3066, 3067, 3145.
Козловцев В.	2512.
Козьмин В. М.	2155.
Коковкин А.	2220, 2498.
Кокорин А.	2291, 2295, 2296, 2300, 2384.
Колганов Г.	462, 463.
Колесников В.	360, 376, 811, 1582.
Колесов А. В.	1431.
Колли А.	1594, 2062, 2963, 3154.
Колмогорова И.	1975, 2170.
Колосовский Ю.	2887.
Колтунов В.	533.
Колыбняк А.	765.
Кольцова Е.	2378, 2696, 3318.
Колюшев Ю.	2807.
Колюшева Т.	1109, 1959.
Комар А.	2053.
