Старчевский А.	1767, 3832
Стерлигов В.	1012, 3876
Стефановский А. А.	2209
Стрендж М.	4177
Суворов А.	238
Сумеркин Е. Ф.	3689
Суриков А.	3025, 3413, 3767, 4079
Сурьянинов В.	931, 1437
Суханов Б.	2051
Сушкевич.	3134
Сырнев Ю.	1165, 1318, 2589, 3012
Сысоев П.	210, 2466, 3227
Тамби В.	313, 342, 460, 1458, 1970, 2127, 2677, 2682, 2705, 2895, 3129, 3130, 3423—3425, 4118
Тамби В. и Гольденберг Л.	965
Тамбовский А.	866
Танашевич Н.	1409
Тарас Е. Н.	497
Тарасов С. Н.	1030
Тарасова В.	1201, 1276, 2725, 3335, 3375
Татаринов Б. Ф.	3443
Таубер В.	40, 2965, 3373
Тененбаум И.	177, 204, 205, 454, 819, 970, 1252, 1730, 1909, 2231, 2488, 2544, 2604, 2674, 3366, 3657, 3726, 4061
Терновская.	2841
Тиморев В.	1982, 1997
Титков В.	1205, 3053
Титов Б.	1070, 1929, 3266, 3302, 3630, 3895
Тихомиров Ф. И.	1369
Травин Н.	211, 214, 290, 410, 422, 460, 515, 576, 577, 685, 1430, 1705, 1729, 1820, 1872, 1992, 2067, 2254, 2705, 2895, 2896, 3118, 3168, 3181, 3695
Трапезников Т.	3599
Тридзе И.	3800
Трофименко Е. И.	1262
Трошин Н.	191, 1497, 4109
Трутовский.	1782, 2915
Туганов Г.	1069, 1119, 1211, 1873, 3943
Тудуз Э.	2219
Туманский П.	77
Туркин А.	310, 311, 813, 818, 833, 1205, 3053, 3393, 3396
Туркин Н.	758, 878, 1371, 1372
Турлыгин Я.	926
Тырса Н.	326, 329, 343, 920, 979, 1025, 1280, 1286, 1290, 1296, 1415, 1504, 1506, 2143, 2248, 2585, 3489, 3493, 3539
Узких.	2085
Уит Н.	1496
Ушакова Н.	1166
Ушин Н.	707, 2431, 3743
Ушин Н. А. и Рудаков К.	600
Ушаков-Поскочин М. В.	2672, 2700
Ушакова Н.	1326, 1334, 2842, 3562
Фаворский В.	1069, 1153, 1424, 2962, 3575
Фан-дер-Флит Н.	2968
Федоров В.	460
Фейнберг Л.	68, 3145
Ферр Ф.	582
Физ (Г. К. Браун).	1142, 1150
Филиппов А.	453, 2425, 2579
Филипповский Г.	2334
Фитингоф Г.	306, 874, 2190
Фишер Г.	737, 1068
Фогт.	2819
Фонвизин А.	1317, 2336, 2987, 3228, 3761
Формозов А.	898, 3755, 4153
Френц Р.	460
Фридкин Б.	1779, 2388, 3155, 3159, 3161
Фрост А.	3794, 3795
Фурсей О.	3597
Хальская Г. И.	3790
Харибин Е. И.	3117
Харкевич И.	972
Хигер Е.	215
Хижинский Л.	2945
Хилков.	816
Холодов И. Ф.	271, 541, 1827, 2075, 2077, 2091
Хомзе Е.	620
Храпковский М.	597, 966, 1074, 1514, 1889, 3059, 3690, 4074
Худяк М.	3619
Царевич И.	3653, 3749
Цельмер В. Д.	3775
Цехановский М.	1293, 1299, 1457, 2153
Цехановский М. и Петрович С.	2172
Циновский Д.	4056
Цишевский Ю.	1680
Чарушин Е.	130, 333, 338, 343, 536, 2118, 2136, 2503, 2828, 2873, 2875, 3692, 3846, 3848, 3852, 3854, 3855, 3856, 3857, 3858, 3859, 3863, 3970
Чаусский А. Д.	668, 669
Чачба Л.	302
Челинцева В.	541, 1501, 2085, 2804, 2830, 3330, 3868, 3920
Черданцев Н.	3209
Чернецов В.	1119, 1382
Чижов С.	3223
Шабалин Н.	1640, 1830, 2329, 2740, 3133
Шабанов И.	684, 1416, 1731, 3374, 3448
Шамьянов Х.	2463
Шахов А. А.	2353
Шварц Б.	467, 2584, 3799, 4007
Шевелев Ю.	1091, 1191, 3221
Шевченко Т.	363, 896, 1665, 3756, 3758
Шевченко Т. и Тютчев Ю.	240
Шевяков Г.	304, 460, 507, 688, 778, 897, 1300, 1332, 1396, 1398, 1970, 2104, 2105, 3684
Шифрин Н.	2200
Шишлов ский Н.	538, 595, 1054, 1593, 3420, 3717, 3895
Шишмарева Т.	327, 334
Шишмарева Т. и Власов В.	513
Шляпин Н.	3267
Шмаринов Д.	36, 46, 698, 716, 927, 1206, 1383, 1609, 2624, 3091, 3401, 3705, 4051
Шмаринов Д. и Брей А.	1570
Шмидт А.	1993
