Лукеш Я.	1435а
Дик И.	1731
Дик И.	1762
Диккенс Ч.	1570
Диккенс Ч.	1571
Диккенс Ч.	1572
Диковский С.	301
Диковский С.	302
Дилакторская Н.	1685
Дилакторская Н.	1750
Дильбази М.	1398
Динере Ц.	1399
Динере Ц.	1461
Дмитриев Э.	1753
Дмитриева В	1125
Дмитриева В	2088
Дмитриева В	2089
Доберер К. К.	1668
Добкович В. и Кравцов В.	1951
Добржанская Н.	1750
Добржинский Г. В.	1717
Добролюбов Н. А.	1126
Добролюбов Н. А.	1127
Добролюбов Н. А.	2080
Добролюбов Н. А.	2088
Добролюбов Н. А.	2108
Доброхотов Л.	1752
Доброхотов Л.	1753
Добрынин М.	1140
Доде А.	1690
Долгушин Ю.	1806
Долинова Е.	303
Долинова Е.	304
Долинова Е.	1658
Долинова Е.	1662
Долинова Е.	1693
Долинова Е.	1696
Долинова Е.	1760
Долматовский Е.	305
Долматовский Е.	1675
Домерадский В.	1686
Донникова В.	1688
Донникова В.	1694
Донченко О.	1748
Донченко О.	1400
Донченко О.	1401
Донченко О.	1402
Донченко О.	1403
Дорохов А.	1807
Досталь А.	1725
Досталь А.	1762
Дрожжин С. Д.	1128
Дрожжин С. Д.	2088
Дрозд А.	306
Дроздов Л.	1920
Дроздов Л. и Тетерина М.	1952
Другов Вс. и Товаровский М.	307
Другов Вс. и Товаровский М.	308
Дружинин В.	1878
Дружинин В. Слоним И.	1730
Дрягин П.	1878
Дубов Н.	1669
Дубов Н.	1707
Дубов Н.	2107
Дубов Н.	309
Дубов Н.	310
Дубов Н.	311
Дубов Н.	312
Дубов Н.	313
Дуброва М.	2090
Дубровин А.	2083
Дубровина Л.	2107
Дубровский К. В.	1526
Дубянская М.	1679
Дубянская М.	1685
Дубянская М.	1750
Дувакин В.	1140
Дугинец А.	314
Дудин М.	315
Дудин М.	1762
Дудочкин П.	316
Дудочкин П.	1696
Дунин-Борковский К.	1632
Дунин-Борковский К.	1655
Дуров В.	317
Дымшиц П.	2127
Дьяконов Г.	1681
Дьяконов Л.	318
Дьяконов Л.	319
Дьяконов Л.	1311
Дьячкова О. А.	1676
Дюбин В.	320
Дюма А.	1572
Евтушенко Е.	1878
Еголин А.	1140
Егоров С.	1709
Егоров С., Орлов М.	1682
Ежиков Г.	1681
Езерский М.	321
Елагин В.	1730
Емельянов Б.	1663
Емельянов Б.	1669
Емельянов Б.	1694
Емельянов Б.	1696
Емельянов Б.	1709
Емельянов Б.	1722
Емельянов Б.	1727
Емельянов Б.	1747
Емельянов Б.	1762
Емельянов Б.	2090
Емельянов Б.	322
Емельянов Б.	323
Емельянов Б.	324
Емельянов Б.	325
Емельянов Ю.	1953
Еремин Д.	1717
Ермилов В	1140
Ермолаев Ю.	1762
Еромицкий А.	1679
Еромицкий А.	1716
Ершов П. П.	2108
Ершов П. П.	1129
Ершов П. П.	1130
Ершов П. П.	1131
Ершов П. П.	1132
Ершов П. П.	1133
Есаков А. А.	1666
Ефетов М.	1694
Ефетов М.	1732
Ефетов М.	1808
Ефетов М.	1809
Ефремов И.	326
Ефремов И.	327
Ефремов И.	328
Ефремов Ю.	329
Ефремов Ю. К.	1810
Ефремов Ю. К.	1811
Жаворонкова А.	2082
Жариков Л.	330
Жаров А.	331
Жаров А.	762
Жаров А.	1675
Жаров А.	1709
Жаров А.	1719
Жаров А.	1725
Жаров А.	1726
Жаров А.	1757
Жданов В.	1671
Жданов Н.	332
Жемайте.	1492
Жемайтис С.	333
Жемайтис С.	334
Жемайтис С.	1669
Жемайтис С.	1683
Жемайтис С.	1706
Жестев М.	335
Жестев М.	1679
Жестев М.	1685
Жестев М.	1732
Живова Е.	1711
Живова Е.	1712
Жигалов И.	336
Жилина В. С.	2121
Житков Б. С.	1694
Житков Б. С.	1727
Житков Б. С.	2108
Житков Б. С.	339
Житков Б. С.	340
Житков Б. С.	341
Житков Б. С.	342
Житков Б. С.	343
Житков Б. С.	344
Житков Б. С.	345
Житомирова Н	2083
Житомирова Н	2096
Житомирова Н	2122
Житомирова Н	2123
Жмер Д.	1404
Жолнин В.	1718
Жуков Ю.	346
Жуковский В. А.	1138
Жуковский В. А.	1139
Жуковский В. А.	1694
Жуковский В. А.	1702
Жуковский В. А.	1704
Жуковский В. А.	2108
Журавлев Г.	1682
Журба П.	347
Забашта Л.	1671
Забелло А. и Капица П.	1812
Забила Н.	1696
