Капитонова В.	1385, 1803, 2777
Каплан С.	3841
Каптиков Р.	3558, 3577
Капуста Э.	1060
Капусцинский В.	3474, 3645
Карамышев В.	950, 1805, 2427, 2431, 2432, 3571, 4142
Карасик А.	25, 234, 1179, 3525, 3540, 4050
Караченцев П.	3583, 4174
Кардовский Д.	2636—2639, 3582
Карелин А.	3501
Каретко В.	133, 207, 208, 311, 717, 847, 2653
Карлов Г.	903, 1251
Кармен Р.	3936
Карпенко К.	3499,
Карпенко Л.	3500
Карпенко М.	3462
Карякин А.	1746
Касаткин Н.	509, 1137, 1138, 1482
Кассис.	3940
Кассин Е.	4058
Касьянов Е.	663
Катаев Л.	3786
Катковский А.	1521, 3841
Кауров А.	1792, 1901
Кашкин В.	3499—3501
Кашкуревич А.	531, 1969
Кащеев К.	181, 402, 743, 2021, 2042, 2071, 3527, 3851
Квашина М.	1177
Квитка В.	2199, 3500, 3501
Келейников А.	438, 1978, 1982, 2334, 2335, 2507, 2802, 3080, 3581а, 3582, 3667, 4087
Кельберер Б.	1887
Кершин Ю.	4041
Кещ-Проскурякрв И.	288, 1552, 2974
Ккбанов А.	7397
Кибрик Е.	1352, 1613, 2444, 2448, 3581а, 3583
Кин Я.	2776, 3062
Кипарисов А.	906, 2891
Киприн С.	1528, 1850, 3499, 3500, 3577, 3774
Киреев С.	1124
Кирилло А.	887
Кирпичев П.	2080, 2166, 2202, 2353, 3061, 3384, 3404, 3428, 3429, 3545, 3830
Кирсанов Н.	517, 732, 860, 1208, 1234, 1733, 1762, 3518, 3539, 3593, 3594
Кирцер Ю.	3639
Киселев А.	2132
Киселев В.	98, 250, 970, 2112, 3595, 3618
Киселев Ю.	475, 1834, 2483, 3189, 3582, 3623, 3665, 3777, 3786, 3812, 3833, 3884, 3919, 3920, 3943, 3982, 3983, 4026, 4052, 4097, 4150, 4154
Кисляков Н.	23, 1218, 1737, 3678
Клементьева К.	1433, 2492, 2601
Клигман.	1525
Кликушин Г.	2705
Кликушин Н.	194
Клименко Д.	1651
Клинова М.	956
Клюжев В.	218, 1396, 2311, 2975, 2976, 3246, 3517
Кляевский Г.	252, 4471
Кнорринг Н.	31, 32, 244, 401, 409 1937, 2019, 2160, 3014, 3036
Князевская Н.	854
Кобельков О.	960
Ковалев А.	353, 4160
Ковалев С.	2795, 3160а
Коваленко Б.	3590
Коваленко Е.	617
Коваль В.	1657
Ковенадкий В.	589, 3625
Ковешников М.	2404
Коган Е.	569, 1700
Коган Я.	2492
Козиков А.	1250
Козлов А.	2328, 2413, 3567
Козлов В.	4063
Козлов Г.	4086
Козлов Г.	1112, 3683
Козловский Б.	4
Козловский В.	1948
Козьмин В.	2873
Кокорин А.	1333, 1534, 1941, 3193, 3553
Колганов В.	784, 3583
Колганов Г.	3413, 3536
Колесников В.	1467, 2498, 2507, 2508, 2512, 3209
Колесников И.	1952
Колмогоров А.	3558
Колмогорцева И.	699, 1724, 2496, 2750, 2964
Колонков И.	3506
Колояров Г.	2920
Колтунов В.	1224, 3283, 3561, 3562
Колчанов А.	2062, 3677
Кольчицкий Н.	3581а, 3582, 3725,3839, 3905
Комаров А.	252
Комаров Е.	281, 2847
Коминарец И.	177, 178, 3961
Конашевич В.	130, 140, 215, 1015, 1017, 1287, 1298, 1300, 1301, 1303, 1315, 1420, 2292, 2293, 2300—2302, 2307, 2455, 2492, 2536, 2537, 2655, 2703, 2704, 2892, 3222, 3226, 3425, ' 3439, 3440, 3449, 3466а, 3480, 3544, 3549—3551, 3556; 3581а, 3582, 3590
Кондаков Н.	4061 4070
Кондиайн Э.	1163, 2646, 3551
Кондратьев А.	408, 714, 1098, 2421, 2489, 3834, 3915
Кондратьев П.	3474
Кондратьева М.	3500, 3501
Кондрашкин В.	39, 3563
Конев Е.	1665
Коннов В.	3563
Коновалов В.	52, 242, 641, 1420, 2900
Коновалов И.	428, 528, 682, 1277 2854—2856, 2934
Кононов Г.	610
Кононов И.	2010, 2821
Конопацкая Г.	93, 2936
Константинов В.	3635, 3891
Константинов К.	1011
Константинов Ф.	3278, 3583, 3614 3725
Константиновский А.	2444, 2493, 3566
Конягин В.	1890
Коняхин Ф.	2474
Коняшев В.	536, 1642, 1644, 1670, 2063, 2332, 3563, 3565
Копейко Ю.	3527, 4080
Копылов Ю.	3778
Корабликов В.	1023, 2644, 2645
Коржевский Б.	881, 912, 947, 1205, 1420, 1635, 2498, 2848, 3581а, 3631, 3688, 3923
Коркин И.	3684
Коркин Л.	3677
Коркин Ю.	1438, 2133, 2203, 3618, 3619
Кормнов А.	2843, 3105
Корнев О.	943
Корнеев Б.	1790, 1910
Корнеев С.	1763
Коробицын К.	3678
Коробов В.	1579
Коровин	3430
Коровин А.	961
Коровин О.	143, 1379, 1516, 1638, 1686, 1687, 2118,- 3527, 3582, 3583
Коровин Ю.	1287, 1297, 1302, 1315, 1355, 3354
Коровина А.	3621
Коростышевский Л.	2695, 2696, 3085, 3144, 3159, 3526, 3540, 3542
Короткий А.	1420, 2213, 2498, 2507, 2512, 2632, 3545, 3908
Короткова Е.	1140, 1141, 1143, 1819, 2573, 2577, 2590, 2659, 2664, 2699, 2705, 2713, 3032, 3521, 3533, 3621, 3696
Корсун Н.	3146
Кортиков П.	747
Кортович В.	3592
Корчагин А.	2705
Коршунов А.	2225, 2226
Корякин А.	1483, 2145
Космаков А.	3677
Косков Ю.	3563
Косолапов А.	2361
Костенко А.	1058, 1059
