Лермонтов М. Ю.	1318, 1319
Лермонтов М. Ю.	1320, 1321
Лермонтов М. Ю.	1322, 1323
Лермонтов М. Ю.	1324
Лермонтов М. Ю.	1325
Лермонтов М. Ю.	1326—1330
Лермонтов М. Ю.	1331
Лермонтов М. Ю.	1332
Лермонтов М. Ю.	1333
Лермонтов М. Ю.	1334
Лермонтов М. Ю.	1335, 1336
Лермонтов М. Ю.	1337
Лерхе А. В.	1338
Лесков Н. С.	1339
Лесков Н. С.	1340
Лесков Н. С.	1341
Лесник.	1342
Ликстанов И. И.	1347
Ликстанов И. И.	1348
Лифшиц В. А.	1360
Лифшиц В. А.	1361
Лифшиц В. А.	1362
Лихарев Б.	1363
Лицьков Л. А.	1349
Лоев А. Б.	1367
Лонгфелло Г.-В.	1368
Лондон Д.	1369
Лондон Д.	1370
Лондон Д.	1371
Лосев В. А.	1372
Лузгин М.	1373
Лурье С. Я.	1374, 1375
Лысяков П. Н.	1376
Любимова В.	1377
Лялицкая С.	1378
Лялицкая С.	1379
Ляшко Н.	1380
Мавродин В.	1381
Мазурук И. П.	1382, 1383
Майков А. Н.	1385
Майн-Рид.	1386—1388
Макарьев Л. и Дилин С.	1389
Малазония Н.	1390
Малазония Н.	1391
Малакшинов П.	1392
Мамии-Сибиряк Д К.	1404
Мамин-Сибиряк Д. Н.	1402
Мамин-Сибиряк Д. Н.	1403
Мамин-Сибиряк Д. Н.	1405—1407
Мамин-Сибиряк Д. Н.	1408, 1409
Мамин-Сибиряк Д. Н.	1410
Мануйлов В. А.	1411
Марголина М.	1412
Марков Л.	1413
Маршак С. и Кукрыниксы.	1460, 1461
Маршак С. Я.	1414
Маршак С. Я.	1415
Маршак С. Я.	1416
Маршак С. Я.	1417
Маршак С. Я.	1418, 1419
Маршак С. Я.	1420
Маршак С. Я.	1421
Маршак С. Я.	1422, 1423
Маршак С. Я.	1424
Маршак С. Я.	1425
Маршак С. Я.	1426
Маршак С. Я.	1427—1430
Маршак С. Я.	1431
Маршак С. Я.	1432
Маршак С. Я.	1433, 1434
Маршак С. Я.	1435
Маршак С. Я.	1436
Маршак С. Я.	1437, 1438
Маршак С. Я.	1439—1441
Маршак С. Я.	1441а
Маршак С. Я.	1442
Маршак С. Я.	1443
Маршак С. Я.	1444
Маршак С. Я.	1445—1447
Маршак С. Я.	1448
Маршак С. Я.	1449
Маршак С. Я.	1450
Маршак С. Я.	1451
Маршак С. Я.	1452
Маршак С. Я.	1453
Маршак С. Я.	1455
Маршак С. Я.	1454
Маршак С. Я.	1456
Маршак С. Я.	1457
Маршак С. Я.	1458
Маршак С. Я. и Васильева Е. И.	1459
Матвеев Г.	1463
Матвиенко.	1464
Матросов А.	1468
Матцкова И. А.	1469
Матюх В. Ф.	1470
Машашвили А.	1471
Машашвили А.	1472
Машистов А. И.	1473
Маяковский В. В.	1474, 1475
Маяковский В. В.	1476, 1477
Маяковский В. В.	1478
Маяковский В. В.	1479
Маяковский В. В.	1480
Маяковский В. В.	1481
Маяковский В. В.	1482
Маяковский В. В.	1483
Маяковский В. В.	1484
Маяковский В. В.	1485—1490
Мегрелидзе Л.	1492
Мельникова Н. Л.	1497
Мельникова Н. Л.	1493
Мериме П.	1499
Мехти Гуссейн.	1500
Мехти Гуссейн.	1501
Мехти Гуссейн.	1502
Мехти Гуссейн.	1503
Мехти Гуссейн.	1504
Мехти Гуссейн.	1505
Микляев А.	1507, 1508
Мильчаков В.	1509
Миротворцев Б.	1511
Миршакар М.	1512
Михайлов В. П.	1513
Михайлов Д.	1514
Михайлова-Штерн С.	1515
Михалков С.	1516
Михалков С.	1517—1519
Михалков С.	1520
Михалков С.	1521
Михалков С.	1522
Михалков С.	1523
Михалков С.	1524
Михалков С.	1525
Михалков С.	1526
Михалков С.	1527
Михалков С.	1528
Михалков С.	1529, 1530
Михалков С.	1531
Михалков С.	1532
Михалков С.	1533
Михалков С.	1534, 1535
Михалков С.	1536
Михалков С.	1537
Михалков С.	1538, 1539
Михалков С.	1540, 1541
Михалков С.	1542, 1543
Михалков С.	1544, 1545
Михалков С.	1546
Михалков С.	1547
Михалков С.	1548, 1549
Михалков С.	1550
Михалков С.	1551
Михалков С.	1552, 1553
Михалков С.	1554
Михалков С.	1554а
Михалков С.	1555, 1556
Мишакова О. П.	1557
Мишкевич Г. И.	1561
Могилевская С.	1562
Могилевский Л.	1563
Молчанов А.	1571
Молчанов-Сибирский И.	1572
Мопассан Г.	1573
Мопассан Г.	1574
Морозова Е.	1577
Мошляк И.	1580
Мстиславский С.	1582
Мстиславский С.	1583
Мстиславский С.	1584
Мстиславский С.	1585
Муратов М. В.	1586
Муратов М. В.	1587
Муратов М. В.	1588
Муратов М. В.	1589
Мурзиди К.	1590
Мурзиди К.	1591
Мусиков В. и Пегоев А.	1592
Нагаев Г.	1606
Нагишкин Дм.	1607
Нагишкин Дм.	1608
Надеждина Н.	1609
Найденова Н.	1611
Накоряков В.	1614
Неклюков Б.	1635
Некрасов А. Д.	1638
Некрасов Н. А.	1637, 1638
Некрасов Н. А.	1639
Некрасов Н. А.	1640
Некрасов Н. А.	1641
Некрасов Н. А.	1642, 1643
Некрасов Н. А.	1644
Некрасов Н. А.	1645
Некрасов Н. А.	1646, 1647
Некрасов П. И.	1648
Некрасова Л.	1649
Некрасова Л.	1650
Некрасова Л.	1651
Немцов В.	1652
Нестеров В.	1653
Нечаев И.	1654
Нечаев И.	1655, 1656
Нечаев И.	1657
Нечаев Н. В.	1658
Низами Ганджеви.	1660
Низами Ганджеви.	1659
Низами Ганджеви.	1661
Никитин Л., Лебедев В.	1663
Никитич Н.	1664
Николаевский В. И.	1665 
Никольский В. В.	1666
Никольский В. В.	1667
Никонова Ю.	1668
Ниман А.	1669
Новиков-Прибой А.	1670
Новоспасский К. М.	1673
Носилов К.	1675
Носов Н.	1676
Обиди Х.	1677
Обручев В. А.	1679
Обручев С. В.	1680
Огнев С. И.	1683
Огнецвет Эди.	1684
Одоевский В. Ф.	1686
Оленич-Гненежко А. В.	1691
Оленич-Гнененко А. В.	1692
Олеша Ю.	1693, 1694
Оль Гр.	1695
Ольхон А.	1696
Ольхон А.	1697
Орешков В.	1702
Орлов В.	1703
Орлов В.	1704
Орлов Ф. К.	1705
Осеева В.	1706
Осеева В.	1707
Осеева В.	1708
Островский А. Н.	1710
Островский А. Н.	1711
Островский А. Н.	1712
Островский Н.	1713
Островский Н.	1714, 1715
Остроменцкая Н.	1716
Ошанин-Таут В. И.	1729
Палькевич Д.	1731
Панова Н.	1736
Пантелеев Л.	1737
Пантелеев Л.	1738
Пантелеев Л.	1739, 1740
Пантелеев Л.	1741
Пантюхин С. П.	1742
Папанин И. Д.	1743—1745
Парамонов А. Н.	1746
Паустовский К.	1748
Паустовский К.	1749
Паустовский К.	1750, 1751
Паустовский К.	1752
Паустовский К.	1753
Паустовский К.	1754
Паустовский К.	1755
Пашалишвили С.	1756
Первенцев А.	1762
Первенцев А.	1763
Первенцев А.	1764
Первенцев А.	1765
Первомайский Л.	1766
Перельман Я. И.	1767
Перельман Я. И.	1768
Перельман Я. И.	1769
Перельман Я. И.	1770
Перельман Я. И.	1771
Перельман Я. И.	1772—1774
Перельман Я. И.	1775
Перельман Я. И.	1776
Перельман Я. И.	1777
Перельман Я. И.	1778
Перельман Я. И.	1779
Перельман Я. И.	1780
Перец И. Л.	1782
Перля З. Н.	1783
Перля З. Н.	1784
Перовская О. В.	1785
Перовская О. В.	1786
Перовская О. В.	1787
Перовская О. В. и Замчалов Г. Е.	1788
Перро Ш.	1789—1792
Песков Л.	1797
Песков Л.	1798
Петников Г. Н.	1802
Петрова А.	1803
Петровский Д. В.	1804
Петухов Я.	1806
Пилатов Н. П.	1808
Пинский Н. С.	1810
Плавильщиков Н.	1831
Плавильщиков Н.	1832
Плавильщиков Н.	1833
Плавильщиков Н.	1834
Плавник А.	1835
Пластов А.	1838
Пластов А.	1839
Платонов А. П.	1840
Плескачевский Л.	1841
Погореловский С.	1842
Погорельский А.	1843—1845
Подзелинский М.	1847
Покровский А. П.	1849
Покровский С. В.	1850
Покровский С. В.	1851
Поликарпов В. П.	1852
Полтавский С.	1854
Полякова С.	1855
Портенко А.	1858
Постников С.	1864
Поступальская М. И.	1865
Преображенская Л.	1871
Преображенская Л.	1872
Преображенская Л.	1873
Преображенская Л.	1874
Преображенский С.	1875
Преображенский С.	1876
Преображенский С.	1877
Пржевальский Н. М.	1879
