А. С.	4451, 6961.
Калмыков В.	7136, 7846, 8421.
Канинская М.	4828.
Каплун А.	1805.
Каплуновский.	9384.
Капустин Л.	4798.
Капцов Б. И.	545, 10022.
Карабанова.	4281.
Каран д‘Аш.	4462, 4463, 4464, 4466.
Кардовский Д.	2328, 6729, 7900, 9515, 9843, 10237.
Карпов И.	9236.
Карпов П.	5758.
Каррик В.	4149, 4151, 4152, 4153, 4155, 4156, 4158, 4160, 4162, 4164, 4165, 4168, 4170, 4172, 4174, 4177, 4179, 4182, 4184, 4185, 4186, 4189, 4191, 4193, 4195, 4197, 4199, 4202, 4204, 4205, 4207, 4208, 4210, 4212, 4214, 4216, 4218, 4220, 4222, 4224, 4226, 4227, 4229.
Качура Н.	7874, 7876.
Кашина Н. (Кашина-Памятных, Памятных.).	108, 604, 2282, 3202, 4289, 6153, 6310, 7148, 7151, 7153, 7285, 8165, 9431, 9557, 9793, 10433, 10808.
Квятковский Л.	7793, 10470, 10473.
Кизевальтер В.	783, 3892, 4316, 4861, 6709, 10099, 10964.
Кияюшева Е. Ф.	1972, 7601.
Киплинг Р.	4332.
Кирпичев П.	4410, 8456, 10872.
Кисилев В.	1592, 6659, 10224.
Кисиль И.	85, 9077, 9763, 10569.
Кичигин П.	83.
Кишкин К.	6395, 8410.
Клевер О.	5155-а.
Клементьева К.	2076.
Клуцис Г.	2255.
Клячко А. С.	5423, 8958.
Кобелев В.	22, 1232, 3131, 3719, 5454, 5455, 5456, 5459, 5462, 5467, 6963, 7648, 9041, 9043, 10025.
Кобринец Ф.	4471.
Ковальциг В.	2111, 3559.
Кович Б.	1367.
Коган Н.	997, 4520; 4521, 4522, 4523, 4524, 5452.
Кодак А.	1990.
Козлова К.	44, 686, 2390, 2441, 3919, 4445, 5005, 6597, 7697, 7727, 7767, 7779, 8694, 8954, 9172, 10426, 10749.
Козловский В.	82, 883, 1145, 2732, 2867, 4266, 4401, 4501, 8324, 9386, 9759, 10962.
Колокольников В.	3670.
Кольвиц Кете.	2009.
Комар Г. Я.	3081.
