Аас В.	2966.
Гамзатов Р.	2025—2026, 2500-2501, 2513, 2518.
Гамсахурдия А.	2555.
Ганейзер Г.	2500—2501, 2641, 2695.
Ганиев В.	4292.
Ганицкая И.	4849.
Ганкина Э.	4404, 4470, 4489—4491.
Гапова В.	3699.
Гарин С.	350—351.
Гарина О.	4492—4493.
Гарская Н.	2456.
Гартунг Л.	4850.
Гарф А.	2227, 2459, 2501.
Гаршин В. М.	1606—1607, 1939, 2490.
Гасан-Гусейнов М.	3305, 4117—4118.
Гасанов Б.	2027.
Гасенко Г.	751.
Гасилова Х.	4620.
Гаспаров Г.	2961.
Гауф В.	2327, 2390-2391, 2412, 2632.
Гафез.	384.
Гацак В.	2285.
Гацько Н.	1425.
Геворкян А.	4184.
Гейвандов А.	4494.
Гейгер Б.	2304, 4351.
Гейдеко В.	3700.
Геллер М.	352.
Генов Г.	2640—2641.
Георгадзе Л.	2506.
Георгиев Г.	353—354.
Георгиев К.	2328.
Георгиева Н.	3267, 3269.
Георгиевская С.	355—358, 2510.
Герасимов Е.	359.
Гербер А.	2696.
Гербстман А.	4352.
Гердт З.	2540.
Герланц А.	4851.
Герман Ю.	360—361, 2640.
Гернет Б.	4786.
Гернет Н.	2545.
Герцен А. И.	1609—1612.
Герцензон Б.	2886.
Герчик М.	362, 2954.
Герчук Ю.	2767, 3180, 4463, 4495—4499.
Гершензон М.	363.
Гершкович А.	2388, 4353.
Гессе Н.	2478, 2500, 2640.
Гессен А.	3306, 3371, 3400—3401.
Гете И.-В.	1681, 1687, 2329—2330, 2511.
Геттуев М.	2028.
Гиллельсон М.	3154.
Гильен Н.	4405.
Гильэин К.	2697.
Гингольд Л.	2698, 2825.
Гинзбург Л.	3701.
Гинс Е.	1118.
Гинтовт И.	4185.
Главчева А.	2521.
Гладков Ф.	2824.
Гладковская Л.	3488.
Гладышева Г.	364.
Глазков М.	365, 1377.
Глазков Н.	1984, 4186.
Глебка П.	2029.
Глебов А.	2501.
Глебов Алексей.	366.
Глебов В.	1029.
Глебов М.	367.
Глебов Н.	368, 665.
Глебова Л.	4852.
Глинин Г.	192.
Глинка В.	369.
Глинка Ф.	2518.
Глинка Ф. Н.	1721.
Глинтерщик Р.	4853.
Глоцер В.	3402—3403, 4621, 4738.
Глухов А.	2886, 3926, 4087.
