Аас В.	2966.
Стругацкий А.	2516.
Стругацкий Б.	2516.
Стукалин Е.	423.
Стуруа Л.	2508.
Стыцко В.	2988.
Стюарт Е.	311, 1317, 2508.
Субботин В.	1316, 1472, 3979.
Субхи Ганим.	2442.
Суворина Е.	2951.
Суворов Г.	1316, 2545.
Суворов И.	2287.
Судаба Шафа.	2508.
Судакова И.	2506.
Судоплатов П.	2116.
Сукневич И.	2804.
Суконцев А.	588.
Сулейманова Г.	1031, 2019, 2168.
Султанов К.	4270.
Сумароков А. П.	1690.
Сумманен Т.	2518.
Суок-Олеша О.	3797.
Суразаков С.	2169.
Сурганов В.	3870.
Суреев П.	1318.
Суриков И. З.	1708, 1778, 2493, 2500, 2505, 2511.
Суриков М.	1377.
Сурков А.	144, 1312, 1319, 2513, 3550, 3623, 4057, 4317.
Сурков Е.	1372—1373, 3624—3625.
Сурова Е.	1320, 2500, 4445.
Суровцев Н.	2954.
Сурпин М.	4750.
Суслов В.	1472, 2497—2498, 2532, 2534, 3131.
Суслов Владимир.	1321.
Суслов Владлен.	1187, 1322.
Суслов Вольт.	401, 649, 2640.
Суслов И. П.	2509.
Сутеев В.	1323—1324, 1347, 2545, 2625, 3786.
Суханов Н.	1325, 3626.
Сухарев Г.	4750.
Сухачевский С.	1326, 2951.
Сухомлинский В.	2640—2641.
Сызранова Л.	4720, 4784.
Сынгаевский Н.	1031.
Сынтимбряну М.	2501.
Сыров Б.	1327.
Сысоев В.	1301, 1328.
Сысойков М.	2518.
Сьюз Д-р.	2420.
Сэлинджер Дж.-Д.	2408.
Сюда Д.	558.
Табаков О.	4066.
Табенкина А.	1909.
Таболин А.	4890.
Таборко В.	2734, 2924.
Тагер Е.	412, 424, 3627—3628.
Тагиев Р.	4271.
Таенов С.	2968.
Тайц Я.	1329, 2506.
Такала Р.	2518.
Тактаева Л.	1330.
Такташ Х.	2170.
Талвир А.	2171—2172.
Тальян В.	2060.
Тамбиев А.	1331.
Тампи, Парвати.	2419.
Танасийчук В.	2861.
Тангрыкулиев К.	2500—2501, 2641, 4140, 4272—4273.
Танк М.	2173—2174, 2641, 4274.
Тапдыг И.	2175.
Тарабрин И.	2862—2863.
Тарас В.	1332.
Тарас Н.	2508.
Тарасенко Н. А.	2960.
Тарасов В. Ф.	2824.
Тарасов Л.	2887.
Тарасов М.	2518.
Тарасова Т. И.	2824.
Таратута Е.	2321—2323, 3919, 4383-4384.
Тараховская Е.	2513.
Тарбаев В.	495.
Тарджеманов Д.	2176.
Тарле Е.	1803, 3377.
Тарловский М.	1165, 1333, 2236.
Тарнопольская О.	2501.
Тарутин О.	1334, 2497.
Татаринов В.	1335.
Татаринцев А.	3430.
Татьяничева Л.	1336—1337, 2508, 4023.
Ташина Н.	2804.
Твардовский А.	576, 587, 1166, 1338—1344, 1472, 2501, 2513, 2641, 3629.
Твен М.	2421—2428.
Твердохлебов И. Ю.	1700.
Тверской А.	2059, 3151, 3959, 4141, 4385.
Текучев Ф.	4987—4989.
Телесов К.	1345.
Телешов Н. Д.	2489, 2521.
Тельканов С.	1425.
Тельпугов В.	2840, 4030, 4275.
Темирбулатова К.	2508.
Тендряков В.	1346.
Теплое Л.	401.
Теребинская Н.	3871.
Тёрёк Ш.	2596.
Терехов Н.	1348—1349.
Терликовская М.	2324.
Терновская В.	3872.
Терри У. С.	2408.
Терский В.	2962.
Тетивкин А.	3132.
Тименчик З.	2956.
Тимирязев Ф.	2964.
Тимонен А.	2518.
Тимофеевский А.	2347.
Тимохина Т.	2177.
Тимрот А.	3631.
Тирский И.	2510.
Титмерия Д.	4276.
Титов А.	2518.
Титов Д.	3873.
Титов Ф.	2518.
Тихвинский В.	2522—2523.
Тиховодов А.	4782.
Тихомиров В.	2951.
Тихомиров О.	1165, 2604.
Тихомирова И.	3156, 4737.
Тихомирова Т.	3874, 4446.
Тихомолов Б.	2865.
Тихонов Б.	4699.
Тихонов И.	1350.
Тихонов Н.	1227, 1312, 1351—1353, 1658, 1660, 2058, 2501, 2506, 2513, 2641, 2764, 3378, 3520, 3875, 4142.
Тихонов О.	2518.
Тихонов П.	1377.
Ткачев М.	2429, 2950.
Ткачев П.	2954.
Ткачев Ю.	2516.
Ткаченко А.	1301.
Ткаченко К.	2866.
То Хоан.	2429, 3269.
Тобольский И.	2513.
Тоголок М.	2178—2179.
Тодоров Л.	4990.
Тойво С.	4732.
Токмаков Л.	4590—4591.
Токмакова И.	1354—1355, 1732, 1757, 2242, 2461—2463, 2499, 2619, 3379, 4447, 4456.
Токмурзина А.	4716.
Токомбаев А.	2250.
Толис П.	2180.
Толстоба Д.	2498.
Толстой А. К.	1764, 1779—1780, 2491, 2500, 2505, 2511—2512.
Толстой А. Н.	1356—1367, 1863, 1868—1869, 1873—1875, 1880, 1882, 1884, 1886-1887, 1892—1893, 1900—1901, 1907, 1909, 1911, 1915—1916, 1936, 1942, 1955, 1958, 1961, 1963—1966, 2488, 2497, 2501, 2518, 2521.
Толстой Л. Н.	1608, 1781—1811, 1894, 1916, 1936, 1939, 1942, 2488, 2490—2491, 2502, 2505, 2512, 2521, 2640.
Толыбаев Е.	2133.
Томан Н.	2504, 3245.
Томаровский В.	1425.
Томашева Е.	4783, 4991—4992.
Томашевский Б.	1724, 3380.
Томилин А.	2886.
Томин Г.	1368.
Томин Ю.	1033.
Томич М.	4338.
Томский Н.	4592.
Тоноян К.	2107.
Тоотсен Т.	2966.
Топелиус З.	2390—2391.
Тополовский В.	2699, 2887.
Топчан Э.	4154.
Торбан Р.	1369.
Торопыгин В.	1370, 4635.
Точеный О.	4058.
Точилин В.	2509, 2554.
Травен Б.	2430.
Травинский В.	2867.
Трапезников В.	1371.
Трегуб С.	3632, 3877.
Тредиаковский В. К.	1690.
Тренев К.	415—416, 1372—1373, 2526.
Трескунов М.	2341, 4386.
Третьяков Ю.	1374.
Трифонов Г.	1375.
Трифонов Ю.	979.
Троицкая Т. Н.	2826.
Трофимкин И.	894, 4387.
Трофимов Ф.	2518.
Трункатов Тур.	1378.
Трусов В.	3633.
Трутнева Е.	401, 1379, 2494, 3133.
Труфанов И.	2699, 2887.
Трухачева Г.	4738.
Траверс П. Л.	2431—2432.
Туберовская О.	2868, 2886—2887.
Туберовский М.	2497, 2521.
Туболев В.	1380.
Тувим Ю.	558, 922, 934, 2324, 2371, 2433—2434, 2506.
Тукузина Л.	4994.
Туманов А.	2890.
Туманов П. В.	2824.
Туманова Н.	1381.
Тумановский Р.	3246.
Туманян О.	2107, 2500, 2519.
Тумаринсон Г.	2497.
Тумбасов А.	401.
Тураев С.	2330, 4388.
Турбин В.	3974.
Турган Е.	3035.
Тургенев И. С.	1650, 1718, 1812—1828, 2488, 2501, 2512.
Турелик Г.	2508.
Туренская В.	1382.
Туричин И.	649, 1033, 1383—1384, 2951.
Туркин В.	1974, 4143.
Турков А.	1342—1344, 3634—3636, 3878, 4737.
Турова А.	2869.
Турсун-заде М.	4318.
Турунтаев В.	2870.
Турчинская А.	2508.
Тушкан Г.	1385.
Тушнова В.	1312, 2508.
Тынымсеитова Д.	2508.
Тынянов Ю.	1386.
Тычина П.	2513.
Тычинин В.	1387.
Тэсс Т.	2500.
Тюнькин К.	1640—1641, 1643, 3381.
Тюриков И.	3382.
Тюрин А.	589.
Тютчев Ф. И.	1650, 1721, 1829—1831, 2491, 2500, 2502, 2505, 2511—2512.
Тюшина Т.	4995—4996.
Тянавсуу Х.	2966.
Уайльд О.	2390—2391, 2435.
Уваров В.	2871—2872.
Уварова И.	2873.
Уздина М.	4997.
Узюмов Ю.	1388.
Уинкотт Л.	2510.
Уйда.	2436.
Улицкая И.	4999.
Улуг-заде К.	2230, 2241.
Улуро Адо.	2181.
Улькин А.	2954.
Ульяницкая Л.	2640.
Ульянова И.	1389.
Ульянова-Елизарова А. И.	2840, 2874.
Ульяшинская М.	4715.
Уманская М.	4750.
Умаханов М.	4319.
Уоллес Д.	558.
Упорова З.	2518.
Урбан А.	3637.
Урланис С.	2951.
Урманов К.	1391.
Урнов Д.	4371, 4389.
Уруков В.	576.
Усанов А.	2498.
Усач Г.	2620.
Услар Пьетри А.	2342.
Усов В.	3638.
Усов В. Ю.	2800.
Усов Василий.	2507.
Усов М.	4059.
Успенская Л.	2804.
Успенский Г. И.	1832.
Успенский Л.	400, 1316, 2686, 2875 3880.
Успенский Э.	1392—1393, 2506, 2534 2558, 2621, 3881.
Усталь А.	2966.
Устинов Г.	665.
Устинов Л.	2622—2624.
Устинов Н.	4593.
Устьянцев В.	2507.
Утевская П.	2886.
Утетлеуов Е.	2133.
Уткин И.	1166, 1472, 2501.
Утков В.	3383.
Ухли В.	2182.
Ухъянкин С. П.	2967.
Ушаков А.	890, 3639.
Ушев А.	1425.
Ушеренко Р.	665.
Ушинский К. Д.	824, 1718, 1811, 1833—1840, 1909, 1916, 1936, 1955, 2491, 2493, 2500, 2641.
Фаддеева И.	2825.
Фадеев А.	462, 1049, 1394—1406, 1425, 2489, 2604.
Фадеева Е.	4789, 4857, 5001.
Фазин З.	1201, 1407.
Файзуллина М.	2183.
Файн О.	3150.
Файнберг В.	1408.
Файнгерц М.	2858.
Файнштейн С.	1409.
Фаллада Г.	2437.
Фальский В.	2807—2808.
ФаЪшнская Н.	4594.
Фарджон Э.	2438.
Фаррух Б.	2019.
Фарутин М.	1410—1411, 2500, 2554.
Фарфель С.	2640.
Фархади Р.	1412.
Фата-с-Савра.	2442.
Фахми Абдар-Рахман.	2442.
Федин К.	3161, 3458.
Федин Ю.	2640.
Федоров Вадим.	1413.
Федоров Владимир.	1414.
Федоров Р. М.	2899.
Федорова А.	1118.
Федосеев Г.	1301, 1415.
Федосов Б.	979.
Федосюк Ю.	2876.
Федотова Л.	4039.
Федулов А.	2896.
федутинов Ю.	2808.
федькин Р.	2184.
фейерабенд Е.	401, 1416—1417.
фекете И.	2439.
фельдеш П.	3269.
Фенов И.	1377.
Феоктистов С.	1425.
Феофанов Ю.	2509.
фере Г.	2808.
Ферсман А.	2887.
Фет А. А.	1764, 1831, 2491, 2493, 2500, 2511-2512.
Фетисов В.	2497-2498, 3134.
Фетисов Василий.	1418—1419.
Фетисов Т.	2877.
Фец А.	1420.
Фёльбах Л.	2596.
Фиалков Ю.	2878.
Филановский Г.	2516, 2886.
Филатов Г.	666.
Филимонова И.	1421.
Филиппов В.	1622, 3384.
Филиппов Н.	2954.
Филиппова М.	2954.
Филиппова Т.	2545.
Фнлоян Г.	2107.
Фингарет С.	1422.
Фиников В.	2346, 2458, 4390.
Финн Э.	4088.
Финогенов А.	2907.
Фирсова Л.	2807—2808.
Фитисов В.	2506.
Фицовский Е.	2324.
Фиш Г.	1423, 2518.
Флегонтов А.	1425.
Флеров Н.	2507.
Фокина О.	2508.
Фолкнер У.	2408.
Фоменко Л.	3882, 4067.
Фомин В.	2684.
Фомин Л.	401, 1424.
Фоминых Ю. Ф.	2841.
Фомичев Е.	3135.
Фомичев Н.	1316.
Фонвизин Д. И.	1690, 1841—1843.
Фоняков И.	576.
Фотеева А.	3431—3432.
Фотьев Н.	1301.
Фофанова М.	4337.
Фофанова М. В.	2790.
Фраерман В.	342, 662, 3640—3641.
Фраерман Р.	1426—1427.
Фрейберг Е.	1428, 2699.
Френкель Н.	1429, 2554.
Фридман В.	4748.
Фридман Ю.	2554.
Фричинская Р.	1455.
Фролов В.	1430.
Фролов П.	1004.
Фролова Г.	2954.
Фролова Л.	4039.
Фролова М.	2501.
Фрумкин А.	4595.
Фрумкин В.	2813.
Фрумкин Л.	3642.
Фурин С.	979, 2907, 2960, 2988, 3007.
Фурманов Д.	1431—1434.
Фурманова Э.	4424, 4433—4434, 4701.
Футлик Л.	2956.
Хабаров С.	2954.
Хадкевич Т.	2185.
Хазанов Ю.	495, 879, 1435—1436, 2545, 2590, 4277.
Хазанович Ю.	1437.
Хазри Н.	4320.
Хандов А.	1031, 2186, 4134.
Хайдаров А.	2625.
Хайдаршо М.	2019.
Хайлов А.	4060—4061.
Хайт А.	1288, 2625.
Хайтов Н.	2440.
Хаким С.	2513.
Хакимов Р.	4144.
Хакимова М.	2019, 2508.
Халапян З.	2107.
Халатов Н.	2509, 3883, 4665.
Халед Абу Бекр.	2442.
Халифман И.	2880.
Халтурин И.	1719, 2500, 3385.
Хаметова Х.	2508.
Хамзин Х.	2881.
Хамид Т.	1438.
Хандрос Б.	3154.
Ханзадян С.	2107, 2521.
Ханфенов А.	2187.
Ханчин В.	2959, 2963—2964, 2999.
Харитонов М.	2359, 4391.
Харитановский А.	979, 1439.
Хармс Д.	824, 1440—1441.
Харчев В.	3884.
Харченко Л.	1442.
Харченко С. В.	2823.
Харьюзов В.	495.
Хацревин Г.	2604.
Хведарович М.	2188.
Хворостов А.	2804.
Хелемский Я.	1443.
Хемницер И. И.	1690.
Хенкин В.	2882.
Хентова С.	2883.
Херасков М. М.	1690.
Хигерович Р.	1444.
Хитарова С.	3177.
Хитрук Ф.	2625.
Хлебников А.	2516.
Хлебников Г.	1445.
Хмара В.	534, 3643.
Хмелик А.	2626—2627.
Хмельницкая Т.	4062.
Хмельницкий С.	1446.
Хнкоян А.	2060, 2107.
Ховари С.	2019.
Ховив Е.	2912.
Ходаков М.	1447.
Ходжи Б.	2019.
Ходза Н.	537, 1033, 1448—1449, 2494, 2497—2498, 2840.
Ходосов Г.	2908.
Ходулин В.	1450, 2512.
Ходырев Г.	2641.
Холендро Д.	1451, 2506.
Холин И.	1452, 3136—3137.
Холмов М.	4790.
Холодов Е.	1717, 3386.
Холопов Г.	3945.
Холшевников Е.	3885.
Холшевникова Е.	1725—1726, 3341.
Хоменко П.	2884.
Хомский П.	4009.
Хомченко В.	2189, 2494, 2500, 2950.
Хорло П.	2441.
Хорол В.	2190.
Хорсун В.	2950.
Хортюнова Л.	4791.
Хотомская В.	558, 2324.
Хотухова Е.	4765.
Хохлов Н.	2501, 2885.
Хохлова А.	3886.
Хотим Р.	4279.
Храмов Е.	1472.
Христолюбова И.	401.
Хромаджич А.	2379.
Хромова К.	3887.
Хрущев А. Т.	2899.
Хршановский А.	649, 1454.
Худадова А.	651.
Худайбердыева Х.	2508.
Хузе О.	3156, 4738, 4792, 4979.
Хусбак Шакер.	2442.
Хуснутдинова Р.	2640.
Хуусконен Т.	2518.
Хюрлиманн Б.	4575.
Царукаев А.	2191.
Цацко Б.	649.
Цветаева М.	1312.
Цветков А.	1228.
Цветков Б.	3229.
Цвирка К.	2192.
Цвирка П.	1166, 2193—2194.
Цедлиц Й. К.	2511.
Целищева Н.	5002.
Цепелев В.	2545, 2554, 2936.
Цепулин Г.	2968.
Цессарский А.	1316, 1456, 3004.
Цигельницкий И.	2699.
Цимбал С.	3888.
Цимбалов В.	4602.
Цирулис Г.	2062.
Цирульников А.	2888.
Цончев Д.	2443.
Цулукидзе Т.	2628.
Цурикова Г.	435, 3247, 3544.
Цыдендамбаев Ч.	2132.
Цымбалюк В.	4280.
Цыпленкова Г.	1228.
Цыферов Г.	1300, 1457—1460, 2607—2609, 2825.
Цюрупа Э.	2889.
Чайковский Б.	1186, 3645, 4325.
Чак А.	2195.
Чалмаев В.	3889.
Чалый Б.	3890.
Чандр, Кришан.	2419.
Чапек Й.	2444.
Чапка Е.	1472.
Чаплина В.	240, 2500.
Чаплина Валентина.	1461—1462.
Чаплина Вера.	1463.
Чапыгина И.	5003.
Чарушин Е.	1464—1468, 1956.
Чарушин Н.	1469—1471, 4603.
Чарыев Ш.	4636.
Часовников А.	1377.
Чачава Н.	4281.
Чачин В.	1473.
Чебалин П.	1474.
Чебыкина Н.	400.
Чевычелов Д.	1475.
Чегодаева М.	4604—4605.
Чекмарев С.	1312.
Челышев Б.	4063, 4097.
Чепуров А.	1476—1477, 2498, 3891.
Черваков Н.	2501.
Червакова В.	4714.
Червинская Н.	1260, 2887.
Червинский М.	2509.
Черканов А.	2499.
Черкасов Н.	1478.
Черкасов Н. К.	2891.
Черкашин Г.	1479, 2498.
Черкашина М.	1480.
Черная Т.	3248, 3892.
Черненко Г.	2699, 2886—2887, 3943.
Черненко К.	4702.
Чернецова И.	2500.
Черников Н.	2892—2893.
Черниченко Ю.	2894.
Чернов В.	4085.
Чернов Е.	1029.
Чернов Ю.	1481.
Черноголовина Г.	1482—1483.
Чернокозов Х.	3720.
Черных И.	1484.
Чернышев А.	576, 1669, 1858, 2419, 3387—3388, 4448.
Чернышевский Н. Г.	1790, 1844—1845, 3323, 3389.
Ческис.	2964.
Четвериков Б.	1485.
Чефранов В.	3024, 3138.
Чехов А. П.	1713—1714, 1846—1862, 2489, 2501, 2512.
Чехов В.	2518.
Чехович Д.	2943.
Чечулина Н.	1724.
Чжан Тянь-и.	2445.
Чигарева З.	1486.
Чикмарев В.	245, 656, 3646—3647, 4845, 5004-5006.
Чнлашвили К.	2196.
Чирва А. Н.	2969.
Чирва Ф.	1487.
Чирков В.	1488.
Чирков Л.	4449.
Чичинадзе Г.	2197, 2629.
Чичков В.	979, 2500.
Членов А.	1489—1490.
Чопич Б.	2379.
Чубаров Л.	3008.
Чудаков А.	3154.
Чудакова В.	649.
Чудакова М.	3648.
Чудинова Л.	2500.
Чуднов В.	2887.
Чуднова Р.	5007.
Чудова Л. Г.	2520.
Чуйков С.	2807.
Чуковская Е. Ц.	3895.
Чуковская М. Н.	3893, 4098.
Чуковский К.	824, 1492—1526, 1704—1706, 1909, 1949, 2343—2344, 2397, 2484—2486, 2506, 3280, 3390, 3649, 3894, 4098, 4392.
Чуковский Н.	1316, 1527, 4098.
Чумаков А.	2862—2863.
Чумакова Н.	2508.
Чумичева Э.	1118.
Чунижеков Ч.	2198.
Чуракова В.	2790.
Чурбанов В.	2808, 4819.
Чусовитина М.	5008.
Чутгаи, Исмат.	2419.
Чутковская А.	2497.
Чуянов А.	1316.
Шабад Е.	1528—1529.
Шабалина М.	2630.
Шавердова Р.	2825.
Шавня А.	4282.
Шавров К.	2521.
Шагинян А.	2107.
Шагинян М.	2840, 4321.
Шадская К.	4706.
Шаиг А.	2137.
Шаймерденов С.	2133.
Шайнер Д.	2446.
Шайхиев А.	2149.
Шакулов Г.	1530.
Шаларь А.	2199.
Шалимов А.	649.
Шамаро А.	3896.
Шамарова В.	4581.
Шамелова Е. В.	4756, 4768, 4803.
Шамилов А.	2200, 2252.
Шамов И.	2513.
Шамсутдинов Г.	2640.
Шамхалов М.	2201.
Шамхалов Ш.	4322.
Шамшур П.	1531.
Шанина Р.	1316.
Шаньков Ю.	1228.
Шапиро Ф.	2534.
Шаповал М.	4291.
Шапошников В.	1377, 3897.
Шариф А.	2137.
Шарифи А.	2019.
Шаров А.	1532—1534.
Шаромов Л.	2748.
Шастин А.	1535.
Шатров М.	2576, 2627, 3650.
Шатько Е.	401, 1165, 1536, 2509.
Шафрановская Т.	2886.
Шах, Чунилал Вардхаман.	2419.
Шах-Азизов К.	3192.
Шаховский Б.	1537.
Шашков А.	2202.
Шашурин Д.	1538.
Шварц А.	2895.
Шварц Е.	1539, 2506,
Шведов Я.	1029, 1166, 2513, 2963.
Швейко А.	3862.
Шевелев Н.	4450.
Шевченко А.	4799, 4801, 4807.
Шевченко М.	1540—1541, 3898, 4010.
Шевченко Н.	4665.
Шевченко Т. Г.	2224—2225.
Шевченко Ю.	2896.
Шевчук В.	2954.
Шевырев С. П.	1650.
Шейкин А.	1033, 1542, 2516.
Шейн Н.	1909.
аш-Шейх Якуб Юсуф Бен.	2442.
Шейченко А.	2965.
Шек А.	3899.
Шекспир В.	2447—2448.
Шелестов Д.	3900.
Шеломенцева М.	5009—5010.
Шельбург-Заремба Э.	2324.
Шеманский Ю.	2507.
Шемшелевич Л.	3901.
Шенье А.	1685—1687.
Шер Н.	1854, 2339—2340, 2501, 2511, 3391.
Шергин Б.	1543, 2507.
Шерель А.	3902.
Шерешевская Н.	2311.
Шерешевский Л.	3903.
Шермухамедов П.	4283.
Шернин А.	2897.
Шерф В.	4451, 4606.
Шершер Л.	1316.
Шестаков Л.	649.
Шестакова Ю.	1301.
Шесталов Ю.	2499.
Шестинский О.	1544, 2498.
Шестов К.	1545.
Шефнер В.	1312, 1472, 2516.
Шещуков С.	3651.
Шибаев А.	1546, 2497—2498.
Шилдс Э.	4452.
Шилин А.	1547.
Шилин Н.	1425.
Шиллер Ф.	2511.
Шилов А.	2604.
Шилович Г.	2950.
Шим Э.	495, 979, 1453, 1548, 2500—2501, 2631, 2640, 2898, 3139.
Шимук В.	2950.
Шиндялов Н.	560.
Шиперович Б.	4804.
Шиповский С.	2521.
Ширвиндт Б.	3009.
Ширшов Б.	400.
Ширяева А.	3449.
Ширяева Г.	1549.
Шитарева О.	3904.
Шитик В.	2503.
Шишаков В.	2646—2647.
Шишкан К.	1550.
Шишов А.	2501.
Шишов Ю.	1551.
Шишова З.	1552—1553.
Шкавро Л.	1554.
Шкаев В.	92, 3652.
Шкаровская И.	1555.
Шкерин М.	3153.
Шкинев Н.	2506, 2604.
Шкловская Е.	5011.
Шкловский В.	1552, 3905, 3975, 4018.
Школьникова Н.	979.
Шляев М.	576.
Шманкевич А.	979, 1556—1557, 2506.
Шмань Г.	2512.
Шмаринов Д.	4616.
Шмидт Б.	2518.
Шмидт Г.-Д.	2632.
Шмульян А.	480.
Шолок Э.	3906.
Шолохов М.	1425, 1558—1562, 2824, 2840.
Шомахов А.	2203—2205.
Шорин Н.	1377.
Шофман А. С.	292.
Шпак В.	3025.
Шпак Г.	576.
Шпаковский Ф.	665.
Шпеер А.	1563.
Шпрыгов Ю.	2526.
Штаудингер Я.	2324.
Штейн А.	3450.
Штейн В.	2534.
Штейнберг А.	2825.
Штейнгруд С.	1564.
Штиллер А.	2956.
Штильмарк Р.	2808.
Штихерт К.-Х.	2900.
Штраус С.	3907.
Шугаев В.	1565.
Шуграева В.	2206, 2508.
Шукуров Я.	2207.
Шукухи А.	2019, 2208.
Шульгина И.	4805.
Шульженко Л.	2968.
Шульжик В.	1566—1567, 3140—3141.
Шумилин В.	1568.
Шумков О.	2901.
Шуйская Е.	1468.
Шупинская М.	2708.
Шур З.	2545, 2554.
Шур Я.	2902.
Шуртаков С.	1569.
Шушкевич С.	2209.
Шушковская Ф.	3155.
Щапова Е.	1570.
Щеглов Л.	1571.
Щедрин Г.	2507.
Щербаков А.	2516.
Щербаков Б.	2133.
Щербаков В.	4607.
Щербаков Василий.	1377.
Щербаков Владимир.	1572.
Щербаков Ю.	1118.
Щербакова А.	2613.
Щербановский О.	1573,
Щербатых Н.	4746.
Щипахина Л.	2508.
ЩипачевС.	1312, 1472, 2500, 2506, 2513, 2604, 2908.
Щукина С.	1574—1575.
Эбаноидзе А.	2063—2065.
Эбин Ф.	320, 343—345, 3653—3654.
Эзергайле А.	2956.
Эйдельман Н.	3433.
Эйдус З.	2956.
Эйшискина Н.	2361, 4393.
Элентух И.	2903.
Элизбарашвили Н.	4608.
Элисте М.	2966.
Элькин В.	4287.
Эмин Г.	2060, 4453.
Эминеску М.	2210, 2260.
Энгельгардт Б.	2449—2450.
Энтин Б.	4738.
Энтин Ю.	2625.
Энтина А.	3691.
Эпова К.	576.
Эпштейн Д.	2899.
Д’Эрвильи Э.	2449—2450.
Эргле З.	2211.
Эрдинч Ф.	2451, 2640.
Эрман Н.	2625.
Эренбург И.	495, 1316.
Эули С.	2513.
Эшмамбетов К.	2212.
Югов А.	1576.
Юдалевич М.	1252, 3655.
Юлдащев С.	2213.
Юнатов С.	3142—3144.
Юнгер Б.	1577.
Юндин И.	2770.
Юнке А.	2342.
Юнусов С.	4703.
Юревич В.	2214, 4284, 4335.
Юркова Н.	2500—2501.
Юрмин Г.	1579—1581, 2904, 3145.
Юрьев В.	2506.
Юсупов Н.	2215—2217, 2501, 2519.
Юсупов Я.	2218.
Юсупова И.	4286.
Юсуфов Р. Ю.	2970.
Юхма М.	2521.
Юшкевич А.	2950.
Юшманова Л.	4708, 4805.
Яблочкина А. А.	2824.
Явгуновский Я.	3593.
Яворская Н.	4145.
Яган И.	576, 1582.
Ядин В.	2954.
Ядрихинская И.	5013.
Языков Н. М.	1650, 1721, 2511.
Языкова Е.	3451, 3749.
Якимова Л.	3909.
Якимович А.	2219, 2274—2275, 4637.
Якина Т.	5014.
Яккола Н.	2518.
Яковлев В.	2640—2641.
Яковлев В. Г.	2920.
Яковлев И.	1583.
Яковлев К.	1377.
Яковлев П.	1584.
Яковлев Ю.	495, 698, 1132, 1390, 1427, 1585—1588, 2513, 2604, 2625, 2804, 2840, 3192, 3277, 3528, 3656, 3910.
Яковлева А.	2960.
Яковлева М.	3249.
Яковлева Т.	2965.
Яковченко В.	3146.
Якубенко Н.	4288, 4704—4705.
Якушенко-Даль Г.	3657.
Ямпольский И.	1674, 3392.
Ян В.	1589.
Ян Т.	2633.
Янев С.	2350.
Яневский С.	2379.
Янов А.	2775.
Яновская Ж.	1590, 2886.
Яновский Л.	2943.
Яновский Н.	3911.
Яновский-Максимов Н.	3393.
Яночкина Н.	1591—1592.
Янушевская Х.	2324.
Янушкевич А.	4454.
Янушкевич Р.	1593.
Янчарский Ч.	2324, 2452.
Янчевецкий М.	3150.
Ярлыченко В.	2676-а
Ярмыш Ю.	4234, 4289.
Яров Р.	1594.
Яруллин Ш. К.	2934.
Ясинская Л.	2499.
Яссон Ю.	1595.
Ястребов В.	1377.
Яунсудрабинь Я.	2222.
Яхнин Л.	2481, 3147.
Яхнин Ю.	1425, 2237.
Яхонтов В.	1301.
Яшин А.	1596, 2513, 2640.
Яшин Л.	3528.
Яшин М.	3434.
Яшунина Л.	2907.
Яшунина Я.	2960
