author,title,genre,year,printrun,kid,junior,teen,exclude,location,sex,lastname,ntitle
"Катаев, В.",Волны Черного моря,Романы,1961-01-01,75000,FALSE,TRUE,TRUE,FALSE,Москва,м,Катаев,волны черного моря
"Катаев, В.",За власть Советов,Роман,1953-01-01,100000,FALSE,FALSE,TRUE,FALSE,Москва; Ленинград,м,Катаев,за власть советов
"Катаев, П,",На краю города,Повесть,1964-01-01,150000,NA,NA,NA,NA,Москва,м,Катаев,на краю города
"Катаев, В.","Разбитая жизнь,или Волшебный рог Оберона",NA,1973-01-01,100000,FALSE,TRUE,TRUE,FALSE,Москва,м,Катаев,разбитая жизньили волшебный рог оберона
"Катаев, В.",Сон,Рассказ,1941-01-01,50000,TRUE,FALSE,FALSE,FALSE,Москва; Ленинград,м,Катаев,сон
"Катаев, В.",Сын полка,Повесть,1945-01-01,30000,FALSE,TRUE,FALSE,FALSE,Москва; Ленинград,м,Катаев,сын полка
"Катаев, В.",Флаг,Рассказ,1942-01-01,25000,FALSE,TRUE,TRUE,FALSE,Москва; Ленинград,м,Катаев,флаг
Катаев В.П.,Я - сын трудового народа,Повесть,1937-01-01,25300,NA,NA,TRUE,NA,М.-Л.,м,Катаев,я сын трудового народа
Катерли Е.,Гремячая башня,Повесть,1946-01-01,30000,FALSE,TRUE,TRUE,FALSE,Москва; Ленинград,ж,Катерли,гремячая башня
"Катюшенко, М.",Первая осень,Повесть и рассказы,1972-01-01,65000,FALSE,TRUE,TRUE,FALSE,Минск,м,Катюшенко,первая осень
Кауров В.,В дальний путь,NA,1951-01-01,30000,FALSE,TRUE,FALSE,NA,Москва; Ленинград,м,Кауров,в дальний путь
"Кахаков, Ю.",Арктур - гончий пес,Рассказы,1966-01-01,75000,NA,TRUE,TRUE,NA,Москва,м,Кахаков,арктур гончий пес
"Кац, Р.; Сазонов, Е.",Три шпаги на троих,комедия,1965-01-01,200,NA,NA,NA,NA,Москва,м;м,Кац,три шпаги на троих
"Кацович, М. А.",Долг,Повесть,1982-01-01,5000,NA,TRUE,TRUE,NA,Махачкала,м,Кацович,долг
"Качаев, Ю.",В открытом море,Рассказы,1966-01-01,100000,TRUE,NA,NA,NA,Москва,м,Качаев,в открытом море
"Качаев, Ю.",Поезда замедляют ход,Рассказы,1966-01-01,200000,TRUE,NA,NA,NA,Москва,м,Качаев,поезда замедляют ход
"Качаев, Ю.",Таежка,Повесть и рассказы,1965-01-01,150000,NA,TRUE,NA,NA,Москва,м,Качаев,таежка
"Качаев, Ю. Г.",Таежка; (Путь к Лукоморью),Повести,1982-01-01,100000,NA,NA,NA,NA,NA,м,Качаев,таежка путь к лукоморью
"Качаев, Ю.",Фимка - охотник,рассказ,1970-01-01,100,TRUE,NA,NA,NA,Москва,м,Качаев,фимка охотник
"Кашафутдинов, И.",Высокая кровь,Повесть,1979-01-01,75000,FALSE,FALSE,TRUE,FALSE,Москва,м,Кашафутдинов,высокая кровь
"Кашин, В.",Мои друзья,Рассказы,1953-01-01,15000,TRUE,TRUE,FALSE,FALSE,Сталинград,м,Кашин,мои друзья
"Каширин, В.",Знак отличия,NA,1964-01-01,115000,TRUE,TRUE,NA,NA,Ленинград,м,Каширин,знак отличия
"Квин, Л.",В те дни,NA,1956-01-01,30000,FALSE,TRUE,FALSE,NA,Москва,м,Квин,в те дни
"Квин, Л. И.",Везет же людям,Повесть,1979-01-01,50000,FALSE,TRUE,TRUE,FALSE,Барнаул,м,Квин,везет же людям
"Квин, Л. И.",До шестнадцати…,Расказы,1984-01-01,150000,NA,TRUE,TRUE,NA,Барнаул,м,Квин,до шестнадцати
"Квин, Л.",Мальчишечьи тайны,NA,1956-01-01,30000,TRUE,TRUE,FALSE,NA,Барнаул,м,Квин,мальчишечьи тайны
"Квин, Л.",Незадача с задачей,Рассказы,1966-01-01,300000,TRUE,NA,NA,NA,Москва,м,Квин,незадача с задачей
"Квин, Л.",Озорники,NA,1957-01-01,30000,TRUE,FALSE,FALSE,NA,Новосибирск,м,Квин,озорники
"Квин, Л.",Побег Сани Петушкова,Рассказы,1965-01-01,50000,TRUE,NA,NA,NA,Барнаул,м,Квин,побег сани петушкова
"Квин, Л.","Привет, Иошка!",Рассказы,1962-01-01,30000,FALSE,TRUE,FALSE,FALSE,Новосибирск,м,Квин,привет иошка
"Квин, Л. И.",Ржавый капкан на зеленом поле,Роман,1980-01-01,75000,FALSE,FALSE,TRUE,FALSE,Москва,м,Квин,ржавый капкан на зеленом поле
"Квин, Л.",Семьдесят неизвестных,Рассказы,1965-01-01,75000,NA,TRUE,NA,NA,Москва,м,Квин,семьдесят неизвестных
"Квин, Л.",Что принесет утро?,Повесть,1962-01-01,65000,FALSE,FALSE,TRUE,FALSE,Москва,м,Квин,что принесет утро
"Квятовская, В. Г.",Возвращение Геллевры,Повесть,1984-01-01,12000,NA,TRUE,NA,NA,Алма-Ата,ж,Квятовская,возвращение геллевры
Кедрина З.,Аул нашего отца,Повесть,1933-01-01,5000,NA,NA,TRUE,NA,Алмаата-Москва,ж,Кедрина,аул нашего отца
"Кеккелев, Л.",Землячок,Повесть,1977-01-01,100000,FALSE,TRUE,FALSE,NA,Москва,м,Кеккелев,землячок
"Кемоклидзе, Г. В.",Рыцари и львы,Рассказы и сказка,1984-01-01,165000,TRUE,NA,NA,NA,Ярославль,м,Кемоклидзе,рыцари и львы
"Кильдюшев, А.",Звезды над морем,Повесть,1962-01-01,15000,FALSE,TRUE,TRUE,FALSE,Барнаул,м,Кильдюшев,звезды над морем
"Ким, А. А.",Федина избушка ,рассказ,1988-01-01,150000,TRUE,NA,NA,NA,Москва,м,Ким,федина избушка 
"Кин, В. П.",По ту сторону,Роман,1983-01-01,60000,NA,TRUE,TRUE,NA,Горький,м,Кин,по ту сторону
"Киндер, И. Ф.",Колесо,повесть,1985-01-01,150000,TRUE,TRUE,NA,NA,Казань,м,Киндер,колесо
"Киндер, И.",Крутая дорого,Рассказы и очерки,1971-01-01,8,NA,NA,TRUE,NA,Казань,м,Киндер,крутая дорого
"Киндер, И. Ф.",Степные зарницы,Рассказы,1981-01-01,105000,FALSE,FALSE,TRUE,FALSE,Казань,м,Киндер,степные зарницы
"Киприянов, В. И.",Дорога к солнцу,"Повесть в рассказах, рассказы",1984-01-01,15000,NA,TRUE,NA,NA,Архангельск,м,Киприянов,дорога к солнцу
"Кириллов, Г.",На дне морском,Рассказы,1966-01-01,100000,NA,TRUE,NA,NA,Москва,м,Кириллов,на дне морском
"Кирносов, А. А.",Свидание с морем,Роман,1981-01-01,100000,TRUE,FALSE,FALSE,FALSE,Ленинград,м,Кирносов,свидание с морем
"Кирносов, А.",Человек отправляется в путь,Повесть,1962-01-01,30000,TRUE,TRUE,FALSE,FALSE,Ленинград,м,Кирносов,человек отправляется в путь
