author,title,genre,year,printrun,kid,junior,teen,exclude,location,sex
"Неверов, А. С.",Ташкент - город хлебный,Повесть,1980,100000,0,1,0,0,Москва,м
"Некрасов, А. С.",Приключения капитана Врунгеля,Повесть,1979,300000,0,1,0,0,Москва,м
"Немченко, Г. Л.",Красный петух плимутрок,Повесть и рассказы,1981,100000,1,0,0,0,Москва,м
"Нестеренко, В. Г.",Чаша Сухой горы,Повесть,1979,4000,0,0,1,0,Тувин,м
"Николаев, С. А.",Хрустальный самолет,Рассказы,1981,12000,0,1,1,0,Фрунзе,м
"Никольский, Б. Н.",Военная косточка,Рассказы,1981,150000,1,0,0,0,Ленинград,м
"Никольский, Б. Н.","Делай, как я!",Повесть и рассказы,1980,150000,1,0,0,0,Ленинград,м
"Никонов, Б. Ф.","Какая она, земля?",Рассказы,1979,50000,0,0,1,0,Красноярск,м
"Нилин, П. Ф.",Испытательный срок,Повесть,1979,125000,0,1,1,0,Кемерово,м
"Новогрудский, Л.",Спасибо за покупку!,Повесть,1981,75000,0,0,1,0,Москва,м
"Носов, Е. И.","За долмаи, за лесами",Рассказы,1979,150000,1,0,0,0,Воронеж,м
"Носов, Е. И.",Травой не порастет,Повесть и рассказы,1981,50000,0,0,1,0,Челябинск,м
"Носов, Н. Н.",Дружок,Рассказы,1980,200000,1,0,0,0,Горький,м
"Носов, Н. Н.",Огородники,Рассказы,1981,200000,1,0,0,0,Горький,м
"Обухова, Л. А.","Весна чаще, чем раз в году",Повесть,1980,100000,0,0,1,0,Москва,ж
"Овечкин, А. А.",Особое задание,Рассказы,1979,28000,0,1,0,0,Минск,м
"Овчинникова, А. А.",Рубиновое зернышко,Рассказы,1980,15000,1,0,0,0,Петропавловск,ж
"Овчинникова, А. А.",Следы горностая,Рассказы,1979,100000,1,0,0,0,Москва,ж
"Огнев, В. Ф.","Зеленое, красное, зеленое…",Повесть,1981,100000,0,0,1,0,Москва,м
"Омельченко, В. М.",На речке Орлиной,Повесть и рассказы,1980,65000,1,0,0,0,Киев,м
"Орлов, О. П.",Цемесская бухта,Повесть и рассказы,1981,100000,1,0,0,0,Москва,м
